group,thr_volts,thr_uV,n_patients,total_points
arm,3.539482191544056e-06,3.539482191544056,38,80456850
chin,2.127072049990027e-06,2.127072049990027,48,49452210
legs,3.019083004181735e-06,3.019083004181735,48,89680635
