metric,channel,group1,group2,n1,n2,U,p_raw,r_rank_biserial,p_bonferroni,sig_bonferroni,p_holm,sig_holm
mean_phasic_density,JAMBD,EAI,SYN,6,18,45.0,0.5805224523759993,0.16666666666666663,1.0,False,1.0,False
mean_phasic_density,JAMBD,EAI,TCSP,6,35,105.0,1.0,0.0,1.0,False,1.0,False
mean_phasic_density,JAMBD,NARCO,SYN,7,18,76.0,0.4583815269398793,-0.20634920634920628,1.0,False,1.0,False
mean_phasic_density,JAMBD,NARCO,TCSP,7,35,162.0,0.1925428440190956,-0.3224489795918368,1.0,False,1.0,False
mean_phasic_density,JAMBD,SYN,TCSP,18,35,344.0,0.5924670664984655,-0.09206349206349196,1.0,False,1.0,False
mean_phasic_density,JAMBG,EAI,NARCO,1,7,7.0,0.25,-1.0,1.0,False,0.75,False
mean_phasic_density,JAMBG,EAI,SYN,1,17,14.0,0.4444444444444444,-0.6470588235294117,1.0,False,0.8888888888888888,False
mean_phasic_density,JAMBG,EAI,TCSP,1,27,27.0,0.07142857142857142,-1.0,0.42857142857142855,False,0.2857142857142857,False
mean_phasic_density,JAMBG,NARCO,SYN,7,17,61.0,0.9505928853754944,-0.025210084033613356,1.0,False,0.9505928853754944,False
mean_phasic_density,JAMBG,NARCO,TCSP,7,27,141.0,0.048477809568564005,-0.4920634920634921,0.290866857411384,False,0.24238904784282003,False
mean_phasic_density,JAMBG,SYN,TCSP,17,27,325.0,0.022031666334321433,-0.4161220043572984,0.1321899980059286,False,0.1321899980059286,False
mean_phasic_density,Menton,EAI,NARCO,6,7,11.0,0.18065268065268064,0.47619047619047616,1.0,False,0.6826354423608427,False
mean_phasic_density,Menton,EAI,SYN,6,18,31.0,0.13652708847216855,0.42592592592592593,0.8191625308330113,False,0.6826354423608427,False
mean_phasic_density,Menton,EAI,TCSP,6,35,80.0,0.3755525546282928,0.23809523809523814,1.0,False,0.7511051092565856,False
mean_phasic_density,Menton,NARCO,SYN,7,18,69.0,0.7450884127314332,-0.09523809523809534,1.0,False,0.7511051092565856,False
mean_phasic_density,Menton,NARCO,TCSP,7,35,167.0,0.14007235733808263,-0.3632653061224489,0.8404341440284957,False,0.6826354423608427,False
mean_phasic_density,Menton,SYN,TCSP,18,35,404.0,0.09648536829339995,-0.28253968253968265,0.5789122097603997,False,0.5789122097603997,False
median_tonic_ratio,EMG1,EAI,NARCO,1,7,6.0,0.5,-0.7142857142857142,1.0,False,1.0,False
median_tonic_ratio,EMG1,EAI,SYN,1,17,13.0,0.5555555555555556,-0.5294117647058822,1.0,False,1.0,False
median_tonic_ratio,EMG1,EAI,TCSP,1,27,21.0,0.4999999999999999,-0.5555555555555556,1.0,False,1.0,False
median_tonic_ratio,EMG1,NARCO,SYN,7,17,52.0,0.6640027275038718,0.12605042016806722,1.0,False,1.0,False
median_tonic_ratio,EMG1,NARCO,TCSP,7,27,87.0,0.7706635566553448,0.07936507936507942,1.0,False,1.0,False
median_tonic_ratio,EMG1,SYN,TCSP,17,27,239.0,0.8282625408353115,-0.04139433551198257,1.0,False,1.0,False
median_tonic_ratio,EMG2,EAI,NARCO,1,7,5.0,0.75,-0.4285714285714286,1.0,False,1.0,False
median_tonic_ratio,EMG2,EAI,SYN,1,17,8.0,1.0,0.05882352941176472,1.0,False,1.0,False
median_tonic_ratio,EMG2,EAI,TCSP,1,27,20.0,0.5714285714285713,-0.4814814814814814,1.0,False,1.0,False
median_tonic_ratio,EMG2,NARCO,SYN,7,17,44.0,0.34926496082102493,0.26050420168067223,1.0,False,1.0,False
median_tonic_ratio,EMG2,NARCO,TCSP,7,27,94.0,0.9999999999999999,0.005291005291005346,1.0,False,1.0,False
median_tonic_ratio,EMG2,SYN,TCSP,17,27,286.0,0.17708350893568459,-0.24618736383442275,1.0,False,1.0,False
median_tonic_ratio,JAMBD,EAI,NARCO,6,7,24.0,0.7307692307692307,-0.1428571428571428,1.0,False,1.0,False
median_tonic_ratio,JAMBD,EAI,SYN,6,18,54.0,1.0,0.0,1.0,False,1.0,False
median_tonic_ratio,JAMBD,EAI,TCSP,6,35,106.0,0.9856676069769781,-0.00952380952380949,1.0,False,1.0,False
median_tonic_ratio,JAMBD,NARCO,SYN,7,18,59.0,0.8361680882047013,0.06349206349206349,1.0,False,1.0,False
median_tonic_ratio,JAMBD,NARCO,TCSP,7,35,94.0,0.3525114677232777,0.2326530612244898,1.0,False,1.0,False
median_tonic_ratio,JAMBD,SYN,TCSP,18,35,289.0,0.6319950126791889,0.08253968253968258,1.0,False,1.0,False
median_tonic_ratio,JAMBG,EAI,NARCO,1,7,7.0,0.25,-1.0,1.0,False,0.6666666666666666,False
median_tonic_ratio,JAMBG,EAI,SYN,1,17,16.0,0.2222222222222222,-0.8823529411764706,1.0,False,0.6666666666666666,False
median_tonic_ratio,JAMBG,EAI,TCSP,1,27,27.0,0.07142857142857142,-1.0,0.42857142857142855,False,0.3571428571428571,False
median_tonic_ratio,JAMBG,NARCO,SYN,7,17,28.0,0.04717079259413356,0.5294117647058824,0.28302475556480133,False,0.28302475556480133,False
median_tonic_ratio,JAMBG,NARCO,TCSP,7,27,60.0,0.15058584107118425,0.3650793650793651,0.9035150464271056,False,0.602343364284737,False
median_tonic_ratio,JAMBG,SYN,TCSP,17,27,279.0,0.2375765745203262,-0.21568627450980382,1.0,False,0.6666666666666666,False
median_tonic_ratio,Menton,EAI,NARCO,6,7,20.0,0.9452214452214451,0.04761904761904767,1.0,False,1.0,False
median_tonic_ratio,Menton,EAI,SYN,6,18,26.0,0.06576718476031977,0.5185185185185186,0.3946031085619186,False,0.38592561299708195,False
median_tonic_ratio,Menton,EAI,TCSP,6,35,79.0,0.3560969382535493,0.24761904761904763,1.0,False,1.0,False
median_tonic_ratio,Menton,NARCO,SYN,7,18,40.0,0.17750780112336176,0.3650793650793651,1.0,False,0.710031204493447,False
median_tonic_ratio,Menton,NARCO,TCSP,7,35,111.0,0.7163957677436494,0.09387755102040818,1.0,False,1.0,False
median_tonic_ratio,Menton,SYN,TCSP,18,35,414.0,0.06432093549951366,-0.3142857142857143,0.38592561299708195,False,0.38592561299708195,False
pct_ep_with_phasic,EMG1,EAI,NARCO,1,7,1.5,0.5101619380844784,0.5714285714285714,1.0,False,1.0,False
pct_ep_with_phasic,EMG1,EAI,SYN,1,17,9.5,0.9231445226868813,-0.11764705882352944,1.0,False,1.0,False
pct_ep_with_phasic,EMG1,EAI,TCSP,1,27,11.0,0.8041860303067349,0.18518518518518523,1.0,False,1.0,False
pct_ep_with_phasic,EMG1,NARCO,SYN,7,17,69.5,0.5460999838684153,-0.16806722689075637,1.0,False,1.0,False
pct_ep_with_phasic,EMG1,NARCO,TCSP,7,27,101.0,0.7981166873574713,-0.06878306878306883,1.0,False,1.0,False
pct_ep_with_phasic,EMG1,SYN,TCSP,17,27,213.5,0.7084647294690452,0.06971677559912859,1.0,False,1.0,False
pct_ep_with_phasic,EMG2,EAI,NARCO,1,7,5.0,0.75,-0.4285714285714286,1.0,False,1.0,False
pct_ep_with_phasic,EMG2,EAI,SYN,1,17,13.0,0.4392920848474955,-0.5294117647058822,1.0,False,1.0,False
pct_ep_with_phasic,EMG2,EAI,TCSP,1,27,24.5,0.1916896962266622,-0.8148148148148149,1.0,False,1.0,False
pct_ep_with_phasic,EMG2,NARCO,SYN,7,17,57.5,0.9240375833307632,0.03361344537815125,1.0,False,1.0,False
pct_ep_with_phasic,EMG2,NARCO,TCSP,7,27,114.0,0.41684032348839206,-0.20634920634920628,1.0,False,1.0,False
pct_ep_with_phasic,EMG2,SYN,TCSP,17,27,281.5,0.21304519640427588,-0.2265795206971677,1.0,False,1.0,False
pct_ep_with_phasic,JAMBD,EAI,NARCO,6,7,11.0,0.17235939896143682,0.47619047619047616,1.0,False,1.0,False
pct_ep_with_phasic,JAMBD,EAI,SYN,6,18,41.0,0.4040429870398403,0.2407407407407407,1.0,False,1.0,False
pct_ep_with_phasic,JAMBD,EAI,TCSP,6,35,94.5,0.7106902272807732,0.09999999999999998,1.0,False,1.0,False
pct_ep_with_phasic,JAMBD,NARCO,SYN,7,18,73.0,0.5650147534740867,-0.15873015873015883,1.0,False,1.0,False
pct_ep_with_phasic,JAMBD,NARCO,TCSP,7,35,151.0,0.34285396006730495,-0.2326530612244897,1.0,False,1.0,False
pct_ep_with_phasic,JAMBD,SYN,TCSP,18,35,335.5,0.7066147510949488,-0.06507936507936507,1.0,False,1.0,False
pct_ep_with_phasic,JAMBG,EAI,NARCO,1,7,7.0,0.25,-1.0,1.0,False,1.0,False
pct_ep_with_phasic,JAMBG,EAI,SYN,1,17,12.5,0.4994759903573185,-0.47058823529411775,1.0,False,1.0,False
pct_ep_with_phasic,JAMBG,EAI,TCSP,1,27,26.5,0.12134376000006698,-0.962962962962963,0.7280625600004019,False,0.7280625600004019,False
pct_ep_with_phasic,JAMBG,NARCO,SYN,7,17,49.5,0.5460999838684153,0.16806722689075626,1.0,False,1.0,False
pct_ep_with_phasic,JAMBG,NARCO,TCSP,7,27,114.5,0.4057671292587389,-0.21164021164021163,1.0,False,1.0,False
pct_ep_with_phasic,JAMBG,SYN,TCSP,17,27,291.5,0.1379532374007145,-0.27015250544662317,0.8277194244042869,False,0.7280625600004019,False
pct_ep_with_phasic,Menton,EAI,NARCO,6,7,19.5,0.8862477072704644,0.0714285714285714,1.0,False,1.0,False
pct_ep_with_phasic,Menton,EAI,SYN,6,18,36.5,0.25655669019904437,0.32407407407407407,1.0,False,1.0,False
pct_ep_with_phasic,Menton,EAI,TCSP,6,35,93.5,0.6847378632098663,0.10952380952380958,1.0,False,1.0,False
pct_ep_with_phasic,Menton,NARCO,SYN,7,18,46.5,0.33211763163818486,0.26190476190476186,1.0,False,1.0,False
pct_ep_with_phasic,Menton,NARCO,TCSP,7,35,135.0,0.6853088064868267,-0.1020408163265305,1.0,False,1.0,False
pct_ep_with_phasic,Menton,SYN,TCSP,18,35,387.5,0.17585153152453936,-0.23015873015873023,1.0,False,1.0,False
pct_heavy,EMG1,EAI,NARCO,1,7,2.5,0.8262383659187281,0.2857142857142857,1.0,False,1.0,False
pct_heavy,EMG1,EAI,SYN,1,17,10.0,0.8467655411756059,-0.17647058823529416,1.0,False,1.0,False
pct_heavy,EMG1,EAI,TCSP,1,27,15.0,0.901408959462908,-0.11111111111111116,1.0,False,1.0,False
pct_heavy,EMG1,NARCO,SYN,7,17,73.0,0.40849871402909776,-0.2268907563025211,1.0,False,1.0,False
pct_heavy,EMG1,NARCO,TCSP,7,27,106.5,0.6241126485273816,-0.12698412698412698,1.0,False,1.0,False
pct_heavy,EMG1,SYN,TCSP,17,27,222.5,0.8754249654535258,0.030501089324618702,1.0,False,1.0,False
pct_heavy,EMG2,EAI,NARCO,1,7,6.0,0.5,-0.7142857142857142,1.0,False,1.0,False
pct_heavy,EMG2,EAI,SYN,1,17,14.0,0.3339266331682066,-0.6470588235294117,1.0,False,1.0,False
pct_heavy,EMG2,EAI,TCSP,1,27,25.5,0.1538661075451826,-0.8888888888888888,0.9231966452710956,False,0.9231966452710956,False
pct_heavy,EMG2,NARCO,SYN,7,17,60.5,0.9746506082442795,-0.01680672268907557,1.0,False,1.0,False
pct_heavy,EMG2,NARCO,TCSP,7,27,117.0,0.34790034526952807,-0.23809523809523814,1.0,False,1.0,False
pct_heavy,EMG2,SYN,TCSP,17,27,277.5,0.2517108001499513,-0.20915032679738554,1.0,False,1.0,False
pct_heavy,JAMBD,EAI,NARCO,6,7,13.5,0.31664483874485594,0.3571428571428571,1.0,False,1.0,False
pct_heavy,JAMBD,EAI,SYN,6,18,44.5,0.5482452263135498,0.17592592592592593,1.0,False,1.0,False
pct_heavy,JAMBD,EAI,TCSP,6,35,84.0,0.4490033009262866,0.19999999999999996,1.0,False,1.0,False
pct_heavy,JAMBD,NARCO,SYN,7,18,74.0,0.5249501577247329,-0.17460317460317465,1.0,False,1.0,False
pct_heavy,JAMBD,NARCO,TCSP,7,35,136.0,0.6604817390278429,-0.11020408163265305,1.0,False,1.0,False
pct_heavy,JAMBD,SYN,TCSP,18,35,298.5,0.7634815630185261,0.05238095238095242,1.0,False,1.0,False
pct_heavy,JAMBG,EAI,NARCO,1,7,7.0,0.25,-1.0,1.0,False,1.0,False
pct_heavy,JAMBG,EAI,SYN,1,17,14.0,0.33467757894613204,-0.6470588235294117,1.0,False,1.0,False
pct_heavy,JAMBG,EAI,TCSP,1,27,27.0,0.10734521092777416,-1.0,0.644071265566645,False,0.644071265566645,False
pct_heavy,JAMBG,NARCO,SYN,7,17,57.0,0.8988796668933198,0.04201680672268904,1.0,False,1.0,False
pct_heavy,JAMBG,NARCO,TCSP,7,27,108.0,0.5795861321285035,-0.1428571428571428,1.0,False,1.0,False
pct_heavy,JAMBG,SYN,TCSP,17,27,250.5,0.6210865530082746,-0.0915032679738561,1.0,False,1.0,False
pct_heavy,Menton,EAI,NARCO,6,7,21.0,1.0,0.0,1.0,False,1.0,False
pct_heavy,Menton,EAI,SYN,6,18,47.0,0.6644299653470138,0.12962962962962965,1.0,False,1.0,False
pct_heavy,Menton,EAI,TCSP,6,35,100.5,0.882648226430494,0.042857142857142816,1.0,False,1.0,False
pct_heavy,Menton,NARCO,SYN,7,18,55.0,0.6493190894851448,0.12698412698412698,1.0,False,1.0,False
pct_heavy,Menton,NARCO,TCSP,7,35,133.5,0.7228966079709995,-0.0897959183673469,1.0,False,1.0,False
pct_heavy,Menton,SYN,TCSP,18,35,360.0,0.4028893431683094,-0.1428571428571428,1.0,False,1.0,False
pct_rswa,EMG1,EAI,NARCO,1,7,2.0,0.75,0.4285714285714286,1.0,False,1.0,False
pct_rswa,EMG1,EAI,SYN,1,17,6.0,0.6976354404528671,0.2941176470588235,1.0,False,1.0,False
pct_rswa,EMG1,EAI,TCSP,1,27,12.5,0.9505828867385822,0.07407407407407407,1.0,False,1.0,False
pct_rswa,EMG1,NARCO,SYN,7,17,58.5,0.974578593513987,0.01680672268907568,1.0,False,1.0,False
pct_rswa,EMG1,NARCO,TCSP,7,27,122.5,0.24105699704432648,-0.2962962962962963,1.0,False,1.0,False
pct_rswa,EMG1,SYN,TCSP,17,27,279.5,0.23183395445902433,-0.21786492374727673,1.0,False,1.0,False
pct_rswa,EMG2,EAI,NARCO,1,7,2.0,0.6606202063671975,0.4285714285714286,1.0,False,1.0,False
pct_rswa,EMG2,EAI,SYN,1,17,3.5,0.37825736533353194,0.5882352941176471,1.0,False,1.0,False
pct_rswa,EMG2,EAI,TCSP,1,27,15.0,0.9013686136406374,-0.11111111111111116,1.0,False,1.0,False
