metric,channel,F,p_anova,levene_stat,levene_p
mean_perc_phasic,EMG1,0.5635667495421058,0.641676135531525,0.4362491622345033,0.7280581427782914
mean_perc_phasic,EMG2,0.27140647910713556,0.8457041413100939,0.8659365289124803,0.4652625543595208
mean_perc_phasic,JAMBD,0.16852162625077916,0.9172305886631597,0.2862707654912861,0.8351301827505225
mean_perc_phasic,JAMBG,3.74403012269206,0.016979372604028146,2.8289601631268635,0.048246265211479324
mean_perc_phasic,Menton,1.229802277121456,0.3064773901428694,0.5890296146826542,0.6244904194148656
mean_phasic_density,EMG1,0.603585317971711,0.6158633641083453,0.5499497948628355,0.6506170886498572
mean_phasic_density,EMG2,0.34852222394530114,0.7903640374458248,1.2235465968958326,0.31137148334833253
mean_phasic_density,JAMBD,0.19398685924905137,0.9001119123800251,0.40748017212161647,0.7481572843369324
mean_phasic_density,JAMBG,4.310548336487236,0.009026335119829232,2.819761964224075,0.04876166397631126
mean_phasic_density,Menton,1.1655103184474696,0.33013903571785425,0.3929664347808855,0.7584845203479498
median_tonic_ratio,EMG1,0.7428572564211233,0.5317917228581913,0.9039644348927077,0.44617849378227215
median_tonic_ratio,EMG2,0.8855039101977408,0.45535712947860296,0.39117158251418266,0.7598840771780299
median_tonic_ratio,JAMBD,0.5570968330592508,0.6453380112918998,1.4046585751173335,0.24988818691584386
median_tonic_ratio,JAMBG,2.5040245556588516,0.0703094502334004,1.700185792292635,0.17949788827674545
median_tonic_ratio,Menton,2.310157100384369,0.08497609613212234,0.7669609140247385,0.5168914463053594
pct_ep_with_phasic,EMG1,0.07403217658513417,0.973646577981997,1.0529822663786723,0.37784064653217414
pct_ep_with_phasic,EMG2,1.128915303691728,0.3467795473014671,0.694843200342418,0.5597339430134878
pct_ep_with_phasic,JAMBD,0.24441137186000184,0.864997796200392,0.14857321701064574,0.9302258267364152
pct_ep_with_phasic,JAMBG,1.548544557436048,0.2141001693607211,1.9522802008874949,0.1337761326957367
pct_ep_with_phasic,Menton,0.8657423536112144,0.46372735599257264,1.990735288390609,0.12458279412492818
pct_heavy,EMG1,0.12133977073729718,0.947094841292447,0.6084673512456619,0.612762985039162
pct_heavy,EMG2,1.0203871956158064,0.39193394525387676,1.0300211816193678,0.387719868660845
pct_heavy,JAMBD,0.3065431075817715,0.8205554998651716,0.20211337339190666,0.8945470991835023
pct_heavy,JAMBG,1.2140345473254126,0.3147717835237148,1.5810610307737902,0.20616974527295556
pct_heavy,Menton,0.35752536715301825,0.7838589417259252,1.7293188335271914,0.17019763086166473
pct_rswa,EMG1,0.4467077242251325,0.7207505451820422,0.8466743607135,0.47519199761135245
pct_rswa,EMG2,2.16348563281775,0.10454632045601005,2.5477065538143906,0.06682970031807864
pct_rswa,JAMBD,1.3387718272524352,0.2699444343540533,0.6381093911121652,0.593326922680027
pct_rswa,JAMBG,2.426802811525376,0.07691672652046398,0.9703527343356272,0.4144867947770112
pct_rswa,Menton,1.6248902562510052,0.1926796016666841,0.5249958554705552,0.6667245734070677
