metric,channel,group1,group2,meandiff,p_adj_tukey,lower,upper,reject
mean_phasic_density,Menton,NARCO,TCSP,-0.5754,0.812,-2.2895,1.1387,False
mean_phasic_density,Menton,SYN,TCSP,-0.6514,0.4844,-1.8522,0.5494,False
median_tonic_ratio,EMG1,EAI,NARCO,-0.0397,0.9759,-0.2951,0.2158,False
median_tonic_ratio,EMG1,EAI,SYN,0.0125,0.9991,-0.2334,0.2583,False
median_tonic_ratio,EMG1,EAI,TCSP,-0.0212,0.9956,-0.2645,0.2221,False
median_tonic_ratio,EMG1,NARCO,SYN,0.0521,0.5715,-0.0552,0.1594,False
median_tonic_ratio,EMG1,NARCO,TCSP,0.0185,0.9619,-0.0828,0.1198,False
median_tonic_ratio,EMG1,SYN,TCSP,-0.0337,0.623,-0.1076,0.0403,False
median_tonic_ratio,EMG2,EAI,NARCO,-0.0072,0.9998,-0.2588,0.2444,False
median_tonic_ratio,EMG2,EAI,SYN,0.0324,0.9844,-0.2098,0.2746,False
median_tonic_ratio,EMG2,EAI,TCSP,-0.0111,0.9993,-0.2508,0.2285,False
median_tonic_ratio,EMG2,NARCO,SYN,0.0396,0.7517,-0.0661,0.1453,False
median_tonic_ratio,EMG2,NARCO,TCSP,-0.0039,0.9996,-0.1037,0.0959,False
median_tonic_ratio,EMG2,SYN,TCSP,-0.0435,0.3942,-0.1164,0.0294,False
median_tonic_ratio,JAMBD,EAI,NARCO,-0.0026,0.9997,-0.079,0.0738,False
median_tonic_ratio,JAMBD,EAI,SYN,0.0113,0.9672,-0.0534,0.076,False
median_tonic_ratio,JAMBD,EAI,TCSP,0.0201,0.8179,-0.0406,0.0808,False
median_tonic_ratio,JAMBD,NARCO,SYN,0.0139,0.9316,-0.0473,0.0751,False
median_tonic_ratio,JAMBD,NARCO,TCSP,0.0227,0.7182,-0.0342,0.0796,False
median_tonic_ratio,JAMBD,SYN,TCSP,0.0088,0.9367,-0.031,0.0486,False
median_tonic_ratio,JAMBG,EAI,NARCO,-0.2482,0.1086,-0.5333,0.037,False
median_tonic_ratio,JAMBG,EAI,SYN,-0.1595,0.4186,-0.434,0.115,False
median_tonic_ratio,JAMBG,EAI,TCSP,-0.1944,0.2399,-0.466,0.0773,False
median_tonic_ratio,JAMBG,NARCO,SYN,0.0887,0.2136,-0.0311,0.2085,False
median_tonic_ratio,JAMBG,NARCO,TCSP,0.0538,0.589,-0.0593,0.1669,False
median_tonic_ratio,JAMBG,SYN,TCSP,-0.0349,0.6767,-0.1175,0.0477,False
median_tonic_ratio,Menton,EAI,NARCO,-0.0336,0.9991,-0.6955,0.6282,False
median_tonic_ratio,Menton,EAI,SYN,0.3844,0.2787,-0.1764,0.9451,False
median_tonic_ratio,Menton,EAI,TCSP,0.1107,0.9445,-0.4149,0.6364,False
median_tonic_ratio,Menton,NARCO,SYN,0.418,0.1702,-0.1119,0.9479,False
median_tonic_ratio,Menton,NARCO,TCSP,0.1444,0.866,-0.3482,0.6369,False
median_tonic_ratio,Menton,SYN,TCSP,-0.2736,0.1665,-0.6187,0.0714,False
pct_ep_with_phasic,EMG1,EAI,NARCO,0.0441,0.9977,-0.5914,0.6797,False
pct_ep_with_phasic,EMG1,EAI,SYN,0.0014,1.0,-0.6104,0.6131,False
pct_ep_with_phasic,EMG1,EAI,TCSP,0.0252,0.9995,-0.5802,0.6306,False
pct_ep_with_phasic,EMG1,NARCO,SYN,-0.0428,0.9737,-0.3097,0.2242,False
pct_ep_with_phasic,EMG1,NARCO,TCSP,-0.019,0.9971,-0.2711,0.2332,False
pct_ep_with_phasic,EMG1,SYN,TCSP,0.0238,0.9858,-0.1603,0.2079,False
pct_ep_with_phasic,EMG2,EAI,NARCO,-0.1854,0.841,-0.7813,0.4106,False
pct_ep_with_phasic,EMG2,EAI,SYN,-0.1599,0.8797,-0.7335,0.4137,False
pct_ep_with_phasic,EMG2,EAI,TCSP,-0.2561,0.6293,-0.8238,0.3115,False
pct_ep_with_phasic,EMG2,NARCO,SYN,0.0255,0.9929,-0.2248,0.2759,False
pct_ep_with_phasic,EMG2,NARCO,TCSP,-0.0708,0.8556,-0.3072,0.1657,False
pct_ep_with_phasic,EMG2,SYN,TCSP,-0.0963,0.4544,-0.2689,0.0763,False
pct_ep_with_phasic,JAMBD,EAI,NARCO,0.1062,0.8417,-0.233,0.4453,False
pct_ep_with_phasic,JAMBD,EAI,SYN,0.0707,0.9152,-0.2166,0.3581,False
pct_ep_with_phasic,JAMBD,EAI,TCSP,0.0739,0.8871,-0.1955,0.3432,False
pct_ep_with_phasic,JAMBD,NARCO,SYN,-0.0354,0.9858,-0.307,0.2361,False
pct_ep_with_phasic,JAMBD,NARCO,TCSP,-0.0323,0.9866,-0.2847,0.2201,False
pct_ep_with_phasic,JAMBD,SYN,TCSP,0.0031,1.0,-0.1737,0.18,False
pct_ep_with_phasic,JAMBG,EAI,NARCO,-0.2641,0.5701,-0.8067,0.2784,False
pct_ep_with_phasic,JAMBG,EAI,SYN,-0.2112,0.7055,-0.7334,0.311,False
pct_ep_with_phasic,JAMBG,EAI,TCSP,-0.3078,0.3966,-0.8246,0.209,False
pct_ep_with_phasic,JAMBG,NARCO,SYN,0.053,0.9257,-0.175,0.2809,False
pct_ep_with_phasic,JAMBG,NARCO,TCSP,-0.0437,0.9488,-0.2589,0.1716,False
pct_ep_with_phasic,JAMBG,SYN,TCSP,-0.0966,0.3683,-0.2538,0.0605,False
pct_ep_with_phasic,Menton,EAI,NARCO,0.0853,0.8848,-0.2233,0.3938,False
pct_ep_with_phasic,Menton,EAI,SYN,0.1435,0.4742,-0.1179,0.4049,False
pct_ep_with_phasic,Menton,EAI,TCSP,0.0683,0.8821,-0.1767,0.3134,False
pct_ep_with_phasic,Menton,NARCO,SYN,0.0582,0.9246,-0.1888,0.3052,False
pct_ep_with_phasic,Menton,NARCO,TCSP,-0.0169,0.9974,-0.2465,0.2127,False
pct_ep_with_phasic,Menton,SYN,TCSP,-0.0751,0.6083,-0.236,0.0857,False
pct_heavy,EMG1,EAI,NARCO,-0.0041,1.0,-0.6197,0.6115,False
pct_heavy,EMG1,EAI,SYN,-0.0556,0.9945,-0.6481,0.5369,False
pct_heavy,EMG1,EAI,TCSP,-0.0523,0.9952,-0.6387,0.5341,False
pct_heavy,EMG1,NARCO,SYN,-0.0515,0.9513,-0.3101,0.2071,False
pct_heavy,EMG1,NARCO,TCSP,-0.0482,0.9526,-0.2924,0.1961,False
pct_heavy,EMG1,SYN,TCSP,0.0033,1.0,-0.1749,0.1816,False
pct_heavy,EMG2,EAI,NARCO,-0.2253,0.7965,-0.8798,0.4293,False
pct_heavy,EMG2,EAI,SYN,-0.244,0.7323,-0.8741,0.386,False
pct_heavy,EMG2,EAI,TCSP,-0.3192,0.5285,-0.9427,0.3043,False
pct_heavy,EMG2,NARCO,SYN,-0.0188,0.9978,-0.2937,0.2562,False
pct_heavy,EMG2,NARCO,TCSP,-0.094,0.771,-0.3536,0.1657,False
pct_heavy,EMG2,SYN,TCSP,-0.0752,0.7177,-0.2648,0.1144,False
pct_heavy,JAMBD,EAI,NARCO,0.0891,0.8956,-0.2457,0.424,False
pct_heavy,JAMBD,EAI,SYN,0.0677,0.922,-0.216,0.3514,False
pct_heavy,JAMBD,EAI,TCSP,0.0936,0.7893,-0.1723,0.3596,False
pct_heavy,JAMBD,NARCO,SYN,-0.0214,0.9966,-0.2896,0.2467,False
pct_heavy,JAMBD,NARCO,TCSP,0.0045,1.0,-0.2447,0.2537,False
pct_heavy,JAMBD,SYN,TCSP,0.0259,0.9794,-0.1487,0.2005,False
pct_heavy,JAMBG,EAI,NARCO,-0.3648,0.3474,-0.9441,0.2145,False
pct_heavy,JAMBG,EAI,SYN,-0.3202,0.429,-0.8778,0.2374,False
pct_heavy,JAMBG,EAI,TCSP,-0.3715,0.2899,-0.9233,0.1804,False
pct_heavy,JAMBG,NARCO,SYN,0.0446,0.9615,-0.1988,0.288,False
pct_heavy,JAMBG,NARCO,TCSP,-0.0067,0.9998,-0.2365,0.2232,False
pct_heavy,JAMBG,SYN,TCSP,-0.0513,0.8479,-0.2191,0.1165,False
pct_heavy,Menton,EAI,NARCO,0.0582,0.9621,-0.2586,0.3751,False
pct_heavy,Menton,EAI,SYN,0.0937,0.7938,-0.1748,0.3621,False
pct_heavy,Menton,EAI,TCSP,0.0433,0.9686,-0.2084,0.2949,False
pct_heavy,Menton,NARCO,SYN,0.0354,0.9827,-0.2183,0.2891,False
pct_heavy,Menton,NARCO,TCSP,-0.015,0.9983,-0.2508,0.2209,False
pct_heavy,Menton,SYN,TCSP,-0.0504,0.8518,-0.2156,0.1148,False
pct_rswa,EMG1,EAI,NARCO,0.0601,0.992,-0.5064,0.6267,False
pct_rswa,EMG1,EAI,SYN,0.0231,0.9995,-0.5223,0.5684,False
pct_rswa,EMG1,EAI,TCSP,-0.0265,0.9992,-0.5662,0.5132,False
pct_rswa,EMG1,NARCO,SYN,-0.0371,0.9757,-0.2751,0.2009,False
