channel,metric,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
JAMBG,rswa_fraction,Narco,TCSPi,11,31,136.0,0.33072557789598356,0.20234604105571852,0.9921767336879507,
JAMBG,rswa_fraction,SYN,TCSPi,18,31,268.0,0.8276162242925947,0.03942652329749108,0.9921767336879507,
JAMBG,tonic_eog_fraction,Narco,SYN,11,18,89.0,0.6692309351016275,0.101010101010101,0.6692309351016275,
JAMBG,tonic_eog_fraction,Narco,TCSPi,11,31,109.0,0.08085229418978204,0.36070381231671556,0.24255688256934613,
JAMBG,tonic_eog_fraction,SYN,TCSPi,18,31,203.0,0.11735871725108026,0.2724014336917563,0.24255688256934613,
JAMBG,tonic_ratio,Narco,SYN,10,16,93.0,0.5100191684333342,-0.1625000000000001,0.5100191684333342,
JAMBG,tonic_ratio,Narco,TCSPi,10,27,218.0,0.0047808510011838464,-0.6148148148148149,0.014342553003551538,*
JAMBG,tonic_ratio,SYN,TCSPi,16,27,276.0,0.13491607323569885,-0.2777777777777777,0.2698321464713977,
JAMBG,phasic_ratio,Narco,SYN,11,17,127.0,0.12058267625196809,-0.35828877005347604,0.23904097193779852,
JAMBG,phasic_ratio,Narco,TCSPi,11,28,262.0,0.0007936230533424781,-0.7012987012987013,0.0023808691600274343,**
JAMBG,phasic_ratio,SYN,TCSPi,17,28,305.0,0.11952048596889926,-0.2815126050420169,0.23904097193779852,
EMG1,rswa_fraction,Narco,SYN,11,18,108.0,0.7024268081091429,-0.09090909090909083,0.7024268081091429,
EMG1,rswa_fraction,Narco,TCSPi,11,31,132.0,0.27700002158567905,0.22580645161290325,0.5540000431713581,
EMG1,rswa_fraction,SYN,TCSPi,18,31,204.0,0.12233222873728536,0.26881720430107525,0.3669966862118561,
EMG1,phasic_ratio,Narco,SYN,11,16,128.0,0.0512381935598468,-0.4545454545454546,0.1537145806795404,
EMG1,phasic_ratio,Narco,TCSPi,11,27,206.0,0.06655648455156592,-0.3872053872053871,0.1537145806795404,
EMG1,phasic_ratio,SYN,TCSPi,16,27,196.0,0.6241519906018023,0.09259259259259256,0.6241519906018023,
EMG1,tonic_eog_fraction,Narco,SYN,11,18,89.0,0.6692309351016275,0.101010101010101,0.6692309351016275,
EMG1,tonic_eog_fraction,Narco,TCSPi,11,31,105.0,0.06285181374837799,0.3841642228739003,0.18855544124513396,
EMG1,tonic_eog_fraction,SYN,TCSPi,18,31,203.0,0.11735871725108026,0.2724014336917563,0.2347174345021605,
EMG1,tonic_ratio,Narco,SYN,11,17,121.0,0.20405248129053233,-0.2941176470588236,0.40810496258106466,
EMG1,tonic_ratio,Narco,TCSPi,11,29,244.0,0.010947069598610575,-0.5297805642633229,0.032841208795831724,*
EMG1,tonic_ratio,SYN,TCSPi,17,29,268.0,0.6327209908469001,-0.0872210953346857,0.6327209908469001,
EMG2,rswa_fraction,Narco,SYN,11,18,99.0,1.0,0.0,1.0,
EMG2,rswa_fraction,Narco,TCSPi,11,31,131.0,0.2645545530069817,0.23167155425219943,0.699202278178172,
EMG2,rswa_fraction,SYN,TCSPi,18,31,221.0,0.23306742605939068,0.20788530465949817,0.699202278178172,
EMG2,phasic_ratio,Narco,SYN,9,18,76.0,0.8169613217153913,0.06172839506172845,1.0,
EMG2,phasic_ratio,Narco,TCSPi,9,28,152.0,0.3666903311705768,-0.20634920634920628,1.0,
EMG2,phasic_ratio,SYN,TCSPi,18,28,284.0,0.4783338534673842,-0.12698412698412698,1.0,
EMG2,tonic_eog_fraction,Narco,SYN,11,18,89.0,0.6692309351016275,0.101010101010101,0.6692309351016275,
EMG2,tonic_eog_fraction,Narco,TCSPi,11,31,105.0,0.06285181374837799,0.3841642228739003,0.18855544124513396,
EMG2,tonic_eog_fraction,SYN,TCSPi,18,31,205.0,0.1273902076933095,0.2652329749103942,0.254780415386619,
EMG2,tonic_ratio,Narco,SYN,11,17,105.0,0.6048461261693899,-0.12299465240641716,0.6048461261693899,
EMG2,tonic_ratio,Narco,TCSPi,11,29,240.0,0.015383490166915903,-0.5047021943573669,0.046150470500747706,*
EMG2,tonic_ratio,SYN,TCSPi,17,29,306.0,0.1793778907857816,-0.24137931034482762,0.3587557815715632,
