feature,mean_abs_shap
eeg_C4-A1_mean_std,0.001027560204222412
eeg_C3-A1_skew_mean,0.0010269642653692836
eeg_JAMBD_alpha_bp_abs_mean,0.001019895105537801
eeg_JAMBD_gamma_haut_bp_abs_mean,0.0010164554495705675
eeg_T4-O2_spec_entropy_mean,0.0010160041917228655
eeg_Fp2-A1_gamma_haut_bp_rel_std,0.0010122200670561361
eeg_C4-A1_gamma_haut_bp_abs_std,0.0010102731943830198
eeg_Fp2-T4_zc_mean,0.0009939497937479257
eeg_T4-A1_delta_bp_rel_std,0.0009929000163339033
eeg_Fp1-T3_spec_entropy_mean,0.000987607922542849
eeg_Fp1-A1_kurt_std,0.0009829602473670708
eeg_Menton_peak_freq_mean,0.0009802234325590668
eeg_T4-A1_gamma_haut_bp_abs_mean,0.0009778887440681347
eeg_C4-A1_theta_bp_rel_std,0.0009739813798928102
eeg_C4-A1_gamma_bas_bp_abs_mean,0.0009731908972757685
eeg_Fp1-C3_spec_centroid_mean,0.000972217750641153
eeg_JAMBD_beta_bp_abs_std,0.0009647102071663697
eeg_Fp1-T3_gamma_bas_bp_rel_mean,0.000963180409603793
eeg_Menton_alpha_bp_abs_std,0.0009622227085680729
eeg_C4-A1_theta_bp_rel_mean,0.0009601367460263264
eeg_EMG2_gamma_haut_bp_rel_mean,0.0009574766671582072
eeg_ECG_gamma_haut_bp_rel_mean,0.000954744585341426
eeg_T3-O1_alpha_bp_rel_mean,0.0009540668049604146
eeg_Fp1-C3_theta_bp_abs_mean,0.000948156764872418
eeg_T4-A1_zc_std,0.0009414794212635822
eeg_RONF_theta_bp_rel_std,0.0009411764691672048
eeg_T4-A1_beta_bp_rel_mean,0.0009357698712097444
eeg_T4-O2_spec_centroid_std,0.0009135614139629285
eeg_T4-A1_delta_bp_abs_std,0.0008939722843119453
eeg_EOGD_alpha_bp_rel_std,0.0008926428591906055
eeg_RONF_skew_mean,0.0008907537369635863
eeg_T3-A1_mean_std,0.0008892798865144116
eeg_EOGG_theta_bp_rel_mean,0.0008885563717286366
eeg_EMG2_delta_bp_rel_mean,0.0008859756380399575
eeg_JAMBD_alpha_bp_rel_mean,0.0008821189977519598
eeg_ECG_spec_centroid_mean,0.00088147475664827
eeg_Fp1-T3_alpha_bp_rel_mean,0.0008811771818312464
eeg_ECG_linelen_mean,0.0008672425037038943
eeg_Fp1-A1_theta_bp_abs_mean,0.0008615702966491221
eeg_T4-A1_beta_bp_abs_mean,0.0008609373696577224
eeg_T3-A1_beta_bp_rel_mean,0.0008593961231733394
eeg_Fp2-C4_peak_freq_mean,0.0008586968896832094
eeg_Fp2-C4_zc_mean,0.0008582445431397395
eeg_T4-A1_gamma_haut_bp_rel_std,0.0008579502502773718
eeg_EMG1_linelen_std,0.0008562140893294687
eeg_C3-A1_linelen_mean,0.0008523454960666116
eeg_T4-A1_rms_mean,0.0008508204166065816
eeg_T4-O2_skew_mean,0.0008490237036821926
eeg_T3-O1_peak_freq_std,0.0008441497037193289
eeg_Menton_delta_bp_abs_std,0.0008417546346283957
eeg_Fp2-T4_kurt_mean,0.0008412651131725742
eeg_Fp1-A1_zc_mean,0.0008366247655043911
eeg_ECG_alpha_bp_abs_std,0.0008344727947880188
eeg_Fp2-C4_skew_mean,0.0008304603317107176
eeg_Fp1-C3_theta_bp_abs_std,0.0008279696393974836
eeg_Fp1-A1_theta_bp_rel_std,0.0008256818737942528
eeg_C4-A1_zc_mean,0.0008234410985491771
eeg_T4-A1_skew_mean,0.0008234067329994714
eeg_C3-A1_theta_bp_rel_std,0.0008158666031503274
eeg_EMG1_theta_bp_abs_std,0.0008142375156281768
eeg_Fp2-T4_beta_bp_abs_std,0.000810889463494964
eeg_T4-O2_skew_std,0.0008025393752211962
eeg_Fp1-A1_mean_std,0.0008002749194466018
eeg_ECG_spec_entropy_mean,0.0007951237276421872
eeg_EMG1_peak_freq_mean,0.0007924299872635748
eeg_Menton_beta_bp_abs_mean,0.0007921371206076471
eeg_Fp2-T4_spec_centroid_mean,0.0007916680136107651
eeg_RONF_theta_bp_rel_mean,0.0007897840052181738
eeg_JAMBG_spec_entropy_std,0.0007894058902466065
eeg_T4-O2_beta_bp_rel_mean,0.0007883842961373047
eeg_RONF_gamma_haut_bp_rel_mean,0.0007878400005705171
eeg_Fp1-C3_skew_mean,0.0007855062107986703
eeg_EMG2_std_std,0.0007830877470764496
eeg_ECG_bandwidth_std,0.0007771784322192661
eeg_C4-A1_ptp_mean,0.0007732359009414095
eeg_T4-A1_kurt_mean,0.000766786367323797
eeg_JAMBG_mean_mean,0.0007666144461636391
eeg_T4-O2_alpha_bp_rel_mean,0.0007631489426049843
