feature,importance_mean,importance_std
eeg_Fp1-A1_skew_mean,0.0,0.0
eeg_Fp1-A1_skew_std,0.0,0.0
eeg_Fp1-A1_kurt_mean,0.0,0.0
eeg_Fp1-A1_kurt_std,0.0,0.0
eeg_T4-O2_linelen_mean,0.0,0.0
eeg_T4-O2_linelen_std,0.0,0.0
eeg_Fp1-A1_mean_mean,0.0,0.0
eeg_Fp1-A1_mean_std,0.0,0.0
eeg_Fp1-A1_std_mean,0.0,0.0
eeg_Fp1-A1_std_std,0.0,0.0
eeg_Fp1-A1_var_mean,0.0,0.0
eeg_Fp1-A1_var_std,0.0,0.0
eeg_C3-A1_mean_mean,0.0,0.0
eeg_C3-A1_mean_std,0.0,0.0
eeg_C3-A1_std_mean,0.0,0.0
eeg_C3-A1_std_std,0.0,0.0
eeg_C3-A1_var_mean,0.0,0.0
eeg_C3-A1_var_std,0.0,0.0
eeg_C3-A1_rms_mean,0.0,0.0
eeg_C3-A1_rms_std,0.0,0.0
eeg_T3-A1_skew_mean,0.0,0.0
eeg_T3-A1_skew_std,0.0,0.0
eeg_T3-A1_kurt_mean,0.0,0.0
eeg_T3-A1_kurt_std,0.0,0.0
eeg_T3-A1_ptp_mean,0.0,0.0
eeg_T3-A1_ptp_std,0.0,0.0
eeg_T3-A1_linelen_mean,0.0,0.0
eeg_T3-A1_linelen_std,0.0,0.0
eeg_T3-A1_std_mean,0.0,0.0
eeg_T3-A1_std_std,0.0,0.0
eeg_T3-A1_var_mean,0.0,0.0
eeg_T3-A1_var_std,0.0,0.0
eeg_T3-A1_rms_mean,0.0,0.0
eeg_T3-A1_rms_std,0.0,0.0
eeg_T3-A1_zc_mean,0.0,0.0
eeg_T3-A1_zc_std,0.0,0.0
eeg_Fp2-A1_kurt_mean,0.0,0.0
eeg_Fp2-A1_kurt_std,0.0,0.0
eeg_Fp2-A1_ptp_mean,0.0,0.0
eeg_Fp2-A1_ptp_std,0.0,0.0
eeg_Fp2-A1_linelen_mean,0.0,0.0
eeg_Fp2-A1_linelen_std,0.0,0.0
eeg_T3-A1_mean_mean,0.0,0.0
eeg_T3-A1_mean_std,0.0,0.0
eeg_T4-A1_ptp_mean,0.0,0.0
eeg_T4-A1_ptp_std,0.0,0.0
eeg_T4-A1_linelen_mean,0.0,0.0
eeg_T4-A1_linelen_std,0.0,0.0
eeg_C4-A1_mean_mean,0.0,0.0
eeg_C4-A1_mean_std,0.0,0.0
eeg_C4-A1_std_mean,0.0,0.0
eeg_C4-A1_std_std,0.0,0.0
eeg_T4-A1_rms_mean,0.0,0.0
eeg_T4-A1_rms_std,0.0,0.0
eeg_T4-A1_zc_mean,0.0,0.0
eeg_T4-A1_zc_std,0.0,0.0
eeg_T4-A1_skew_mean,0.0,0.0
eeg_T4-A1_skew_std,0.0,0.0
eeg_T4-A1_kurt_mean,0.0,0.0
eeg_T4-A1_kurt_std,0.0,0.0
eeg_C3-A1_linelen_mean,0.0,0.0
eeg_C3-A1_linelen_std,0.0,0.0
eeg_T4-A1_mean_mean,0.0,0.0
eeg_T4-A1_mean_std,0.0,0.0
eeg_T4-A1_std_mean,0.0,0.0
eeg_T4-A1_std_std,0.0,0.0
eeg_T4-A1_var_mean,0.0,0.0
eeg_T4-A1_var_std,0.0,0.0
eeg_C3-A1_zc_mean,0.0,0.0
eeg_C3-A1_zc_std,0.0,0.0
eeg_C3-A1_skew_mean,0.0,0.0
eeg_C3-A1_skew_std,0.0,0.0
eeg_C3-A1_kurt_mean,0.0,0.0
eeg_C3-A1_kurt_std,0.0,0.0
eeg_C3-A1_ptp_mean,0.0,0.0
eeg_C3-A1_ptp_std,0.0,0.0
eeg_Menton_skew_mean,0.0,0.0
eeg_Menton_skew_std,0.0,0.0
eeg_Menton_kurt_mean,0.0,0.0
eeg_Menton_kurt_std,0.0,0.0
eeg_Menton_ptp_mean,0.0,0.0
eeg_Menton_ptp_std,0.0,0.0
eeg_Menton_linelen_mean,0.0,0.0
eeg_Menton_linelen_std,0.0,0.0
eeg_Menton_std_mean,0.0,0.0
eeg_Menton_std_std,0.0,0.0
eeg_Menton_var_mean,0.0,0.0
eeg_Menton_var_std,0.0,0.0
eeg_Menton_rms_mean,0.0,0.0
eeg_Menton_rms_std,0.0,0.0
eeg_Menton_zc_mean,0.0,0.0
eeg_Menton_zc_std,0.0,0.0
eeg_C4-A1_kurt_mean,0.0,0.0
eeg_C4-A1_kurt_std,0.0,0.0
eeg_C4-A1_ptp_mean,0.0,0.0
eeg_C4-A1_ptp_std,0.0,0.0
eeg_C4-A1_linelen_mean,0.0,0.0
eeg_C4-A1_linelen_std,0.0,0.0
eeg_Menton_mean_mean,0.0,0.0
eeg_Menton_mean_std,0.0,0.0
eeg_C4-A1_var_mean,0.0,0.0
eeg_C4-A1_var_std,0.0,0.0
eeg_C4-A1_rms_mean,0.0,0.0
eeg_C4-A1_rms_std,0.0,0.0
eeg_C4-A1_zc_mean,0.0,0.0
eeg_C4-A1_zc_std,0.0,0.0
eeg_C4-A1_skew_mean,0.0,0.0
eeg_C4-A1_skew_std,0.0,0.0
eeg_JAMBD_rms_mean,0.0,0.0
eeg_JAMBD_rms_std,0.0,0.0
eeg_JAMBD_zc_mean,0.0,0.0
eeg_JAMBD_zc_std,0.0,0.0
eeg_JAMBD_skew_mean,0.0,0.0
eeg_JAMBD_skew_std,0.0,0.0
eeg_JAMBD_kurt_mean,0.0,0.0
eeg_JAMBD_kurt_std,0.0,0.0
eeg_JAMBG_linelen_mean,0.0,0.0
eeg_JAMBG_linelen_std,0.0,0.0
eeg_JAMBD_mean_mean,0.0,0.0
eeg_JAMBD_mean_std,0.0,0.0
eeg_JAMBD_std_mean,0.0,0.0
eeg_JAMBD_std_std,0.0,0.0
eeg_JAMBD_var_mean,0.0,0.0
eeg_JAMBD_var_std,0.0,0.0
eeg_JAMBG_zc_mean,0.0,0.0
eeg_JAMBG_zc_std,0.0,0.0
eeg_JAMBG_skew_mean,0.0,0.0
eeg_JAMBG_skew_std,0.0,0.0
eeg_JAMBG_kurt_mean,0.0,0.0
eeg_JAMBG_kurt_std,0.0,0.0
eeg_JAMBG_ptp_mean,0.0,0.0
eeg_JAMBG_ptp_std,0.0,0.0
eeg_JAMBG_mean_mean,0.0,0.0
eeg_JAMBG_mean_std,0.0,0.0
eeg_JAMBG_std_mean,0.0,0.0
eeg_JAMBG_std_std,0.0,0.0
eeg_JAMBG_var_mean,0.0,0.0
eeg_JAMBG_var_std,0.0,0.0
eeg_JAMBG_rms_mean,0.0,0.0
eeg_JAMBG_rms_std,0.0,0.0
eeg_EMG1_std_mean,0.0,0.0
eeg_EMG1_std_std,0.0,0.0
eeg_EMG1_var_mean,0.0,0.0
eeg_EMG1_var_std,0.0,0.0
eeg_EMG1_rms_mean,0.0,0.0
eeg_EMG1_rms_std,0.0,0.0
eeg_EMG1_zc_mean,0.0,0.0
eeg_EMG1_zc_std,0.0,0.0
eeg_RONF_kurt_mean,0.0,0.0
eeg_RONF_kurt_std,0.0,0.0
eeg_RONF_ptp_mean,0.0,0.0
eeg_RONF_ptp_std,0.0,0.0
eeg_RONF_linelen_mean,0.0,0.0
eeg_RONF_linelen_std,0.0,0.0
eeg_EMG1_mean_mean,0.0,0.0
eeg_EMG1_mean_std,0.0,0.0
eeg_RONF_var_mean,0.0,0.0
eeg_RONF_var_std,0.0,0.0
eeg_RONF_rms_mean,0.0,0.0
eeg_RONF_rms_std,0.0,0.0
eeg_RONF_zc_mean,0.0,0.0
eeg_RONF_zc_std,0.0,0.0
eeg_RONF_skew_mean,0.0,0.0
eeg_RONF_skew_std,0.0,0.0
eeg_JAMBD_ptp_mean,0.0,0.0
eeg_JAMBD_ptp_std,0.0,0.0
eeg_JAMBD_linelen_mean,0.0,0.0
eeg_JAMBD_linelen_std,0.0,0.0
eeg_RONF_mean_mean,0.0,0.0
eeg_RONF_mean_std,0.0,0.0
eeg_RONF_std_mean,0.0,0.0
eeg_RONF_std_std,0.0,0.0
eeg_EMG2_linelen_mean,0.0,0.0
eeg_EMG2_linelen_std,0.0,0.0
eeg_ECG_mean_mean,0.0,0.0
eeg_ECG_mean_std,0.0,0.0
eeg_ECG_std_mean,0.0,0.0
eeg_ECG_std_std,0.0,0.0
eeg_ECG_var_mean,0.0,0.0
eeg_ECG_var_std,0.0,0.0
eeg_EMG2_zc_mean,0.0,0.0
eeg_EMG2_zc_std,0.0,0.0
eeg_EMG2_skew_mean,0.0,0.0
eeg_EMG2_skew_std,0.0,0.0
eeg_EMG2_kurt_mean,0.0,0.0
eeg_EMG2_kurt_std,0.0,0.0
eeg_EMG2_ptp_mean,0.0,0.0
eeg_EMG2_ptp_std,0.0,0.0
eeg_EMG2_mean_mean,0.0,0.0
eeg_EMG2_mean_std,0.0,0.0
eeg_EMG2_std_mean,0.0,0.0
eeg_EMG2_std_std,0.0,0.0
eeg_EMG2_var_mean,0.0,0.0
eeg_EMG2_var_std,0.0,0.0
eeg_EMG2_rms_mean,0.0,0.0
eeg_EMG2_rms_std,0.0,0.0
eeg_EMG1_skew_mean,0.0,0.0
eeg_EMG1_skew_std,0.0,0.0
eeg_EMG1_kurt_mean,0.0,0.0
eeg_EMG1_kurt_std,0.0,0.0
eeg_EMG1_ptp_mean,0.0,0.0
eeg_EMG1_ptp_std,0.0,0.0
eeg_EMG1_linelen_mean,0.0,0.0
eeg_EMG1_linelen_std,0.0,0.0
eeg_EOGD_kurt_mean,0.0,0.0
eeg_EOGD_kurt_std,0.0,0.0
eeg_EOGD_ptp_mean,0.0,0.0
eeg_EOGD_ptp_std,0.0,0.0
eeg_EOGD_linelen_mean,0.0,0.0
eeg_EOGD_linelen_std,0.0,0.0
eeg_EOGG_mean_mean,0.0,0.0
eeg_EOGG_mean_std,0.0,0.0
eeg_EOGD_var_mean,0.0,0.0
eeg_EOGD_var_std,0.0,0.0
eeg_EOGD_rms_mean,0.0,0.0
