band,mean_shap,max_shap,n_feats
theta,0.0005815119316340889,0.0024686212012242,88
beta,0.0005616472096061316,0.0036421908006959,88
alpha,0.0005550985037534087,0.0034923603091301,86
delta,0.0005217854059664161,0.0033676380146396,84
0.5–80.0Hz,0.0004765672587491518,0.0026757975301809,210
gamma_bas,0.00045157776827179583,0.0019983583282639,84
gamma_haut,0.0003955954082806735,0.0045986849453755,84
broadband,0.0003419801001601423,0.0025748112014114,342
