fold,n_train,n_val,balanced_accuracy,f1_macro,recall_macro
1,60.0,15.0,0.6777777777777777,0.5925925925925926,0.6777777777777777
2,60.0,15.0,0.25,0.10526315789473684,0.25
3,60.0,15.0,0.375,0.36622807017543857,0.375
4,60.0,15.0,0.375,0.3712121212121212,0.375
5,60.0,15.0,0.4375,0.45714285714285713,0.4375
0,60.0,15.0,0.4230555555555555,0.37848775980354926,0.4230555555555555
