fold,n_train,n_val,balanced_accuracy,f1_macro,recall_macro
1,60.0,15.0,0.6,0.3904761904761905,0.45
2,60.0,15.0,0.41666666666666663,0.29166666666666663,0.41666666666666663
3,60.0,15.0,0.5625,0.55,0.5625
4,60.0,15.0,0.19444444444444445,0.1590909090909091,0.19444444444444445
5,60.0,15.0,0.375,0.35,0.375
0,60.0,15.0,0.4297222222222222,0.3482467532467533,0.3997222222222222
