channel,metric,group,mean,sd,n
Menton,rswa_fraction,EAI,44.07838360622658,24.56439711779875,7
Menton,rswa_fraction,Narco,36.39183597601686,20.967066397042352,11
Menton,rswa_fraction,SYN,54.22921478163496,18.390116348153214,19
Menton,rswa_fraction,TCSPi,51.76702254077692,21.19535815891043,39
Menton,phasic_ratio,EAI,0.08374513122447556,0.06872575147997269,7
Menton,phasic_ratio,Narco,0.10113701102732713,0.06913241471754494,11
Menton,phasic_ratio,SYN,0.18194308224007158,0.16744648878173932,19
Menton,phasic_ratio,TCSPi,0.09590506086387723,0.09144055174182354,39
Menton,tonic_ratio,EAI,1.1566036364387255,0.3325259415905135,7
Menton,tonic_ratio,Narco,1.20065897499628,0.682267917282283,11
Menton,tonic_ratio,SYN,2.0599924091021444,1.4317602070936903,19
Menton,tonic_ratio,TCSPi,1.3706539307554435,0.6700122304184223,39
Menton,tonic_eog_fraction,EAI,30.757036179925798,28.224859224218385,7
Menton,tonic_eog_fraction,Narco,23.089593320580374,23.224705675512833,11
Menton,tonic_eog_fraction,SYN,30.26060681361931,26.61198427091003,19
Menton,tonic_eog_fraction,TCSPi,36.61032814068923,24.69730705764175,39
Menton,tonic_events_per_min,EAI,6.611757540933987,3.684659567669813,7
Menton,tonic_events_per_min,Narco,5.45877539640253,3.145059959556353,11
Menton,tonic_events_per_min,SYN,8.134382217245241,2.7585174522229825,19
Menton,tonic_events_per_min,TCSPi,7.7650533811165365,3.179303723836565,39
JAMBD,rswa_fraction,EAI,46.39726185202652,19.072540606089355,7
JAMBD,rswa_fraction,Narco,39.79913354051487,19.816003620759925,11
JAMBD,rswa_fraction,SYN,46.1351314382076,22.0168148393862,19
JAMBD,rswa_fraction,TCSPi,47.48148000267511,24.09621945829529,39
Menton,phasic_events_per_min,EAI,0.34483301936932303,0.22087378752275735,7
Menton,phasic_events_per_min,Narco,0.5000881599897254,0.2568283191695221,11
Menton,phasic_events_per_min,SYN,0.7080293496016907,0.33287439503785426,19
Menton,phasic_events_per_min,TCSPi,0.5217606747113682,0.4352555653055705,39
JAMBD,phasic_ratio,EAI,0.056971798388220675,0.04760117145360022,7
JAMBD,phasic_ratio,Narco,0.08460448044116706,0.043807249511940156,11
JAMBD,phasic_ratio,SYN,0.06339638261217828,0.06440807804931692,19
JAMBD,phasic_ratio,TCSPi,0.0822376505329792,0.13531631092055593,39
JAMBD,tonic_ratio,EAI,1.573938367584589,0.34588823227879273,7
JAMBD,tonic_ratio,Narco,2.848272384776712,2.1030674725871594,11
JAMBD,tonic_ratio,SYN,2.0103739413687176,1.2206150617846503,19
JAMBD,tonic_ratio,TCSPi,1.8285258537888207,1.2905350285479968,39
JAMBD,tonic_eog_fraction,EAI,31.414293697494895,28.250882110427007,7
JAMBD,tonic_eog_fraction,Narco,23.10517552002225,23.743895000502445,11
JAMBD,tonic_eog_fraction,SYN,28.62387617145674,25.168216225955884,19
JAMBD,tonic_eog_fraction,TCSPi,36.921328897246205,25.159713857588997,39
JAMBD,tonic_events_per_min,EAI,6.959589277803978,2.860881090913403,7
JAMBD,tonic_events_per_min,Narco,5.969870031077232,2.972400543113989,11
JAMBD,tonic_events_per_min,SYN,6.92026971573114,3.3025222259079303,19
JAMBD,tonic_events_per_min,TCSPi,7.122222000401268,3.6144329187442943,39
JAMBD,phasic_events_per_min,EAI,0.4286111959225713,0.3848785034371259,7
JAMBD,phasic_events_per_min,Narco,0.557492177484643,0.23052121276143417,11
JAMBD,phasic_events_per_min,SYN,0.4477112619045038,0.33881461375229704,19
JAMBD,phasic_events_per_min,TCSPi,0.442863884802136,0.3394603532240538,39
JAMBG,rswa_fraction,Narco,38.80758499488359,24.090630059828786,11
JAMBG,rswa_fraction,SYN,46.150057003513204,22.67627971423544,18
JAMBG,rswa_fraction,TCSPi,47.78057838795839,24.014055710724417,31
JAMBG,phasic_ratio,Narco,0.0924019052127393,0.04781824691170748,11
JAMBG,phasic_ratio,SYN,0.07604778327841191,0.07622627854320023,18
JAMBG,phasic_ratio,TCSPi,0.04661179149744483,0.052311333204832826,31
JAMBG,tonic_ratio,Narco,2.8278816181965776,3.395592246330051,11
JAMBG,tonic_ratio,SYN,2.119641516918109,1.5664056566204971,18
JAMBG,tonic_ratio,TCSPi,1.390798688649261,0.47550835865598484,31
JAMBG,tonic_eog_fraction,Narco,23.493227950471752,24.36170714372006,11
