group,thr_volts,thr_uV,n_patients,total_windows
arm,1.5136290475799466e-05,15.136290475799466,38,6188950
chin,2.4787178627256708e-06,2.478717862725671,48,3804005
legs,6.78484294339561e-07,0.678484294339561,48,6898480
