band,channel,value,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
theta,Fp2-A1,abs,EAI,Narco,7,9,22.0,0.35104895104895106,0.3015873015873016,1.0,
theta,Fp2-A1,abs,EAI,SYN,7,17,53.0,0.709751982063195,0.10924369747899154,1.0,
theta,Fp2-A1,abs,EAI,TCSPi,7,36,148.0,0.4877277929193026,-0.17460317460317465,1.0,
theta,Fp2-A1,abs,Narco,SYN,9,17,91.0,0.45051586608854133,-0.1895424836601307,1.0,
theta,Fp2-A1,abs,Narco,TCSPi,9,36,228.0,0.06308715393505297,-0.40740740740740744,0.34775063888599755,
theta,Fp2-A1,abs,SYN,TCSPi,17,36,406.0,0.05795843981433293,-0.326797385620915,0.34775063888599755,
theta,T3-A1,rel,EAI,Narco,7,11,37.0,0.9298014077425841,0.038961038961038974,1.0,
theta,T3-A1,rel,EAI,SYN,7,19,93.0,0.1353146853146853,-0.3984962406015038,0.5412587412587412,
theta,T3-A1,rel,EAI,TCSPi,7,39,138.0,0.9761468167581759,-0.01098901098901095,1.0,
theta,T3-A1,rel,Narco,SYN,11,19,153.0,0.03885204248343495,-0.46411483253588526,0.19426021241717473,
theta,T3-A1,rel,Narco,TCSPi,11,39,229.0,0.7430081058078915,-0.06759906759906764,1.0,
theta,T3-A1,rel,SYN,TCSPi,19,39,222.0,0.0142071878066674,0.4008097165991903,0.0852431268400044,
theta,T3-A1,abs,EAI,Narco,6,9,20.0,0.45594405594405585,0.2592592592592593,1.0,
theta,T3-A1,abs,EAI,SYN,6,17,38.0,0.39169068917352673,0.2549019607843137,1.0,
theta,T3-A1,abs,EAI,TCSPi,6,33,121.0,0.4123498179225733,-0.22222222222222232,1.0,
theta,T3-A1,abs,Narco,SYN,9,17,81.0,0.8293095167592586,-0.05882352941176472,1.0,
theta,T3-A1,abs,Narco,TCSPi,9,33,210.0,0.061503911039038406,-0.41414141414141414,0.30751955519519203,
theta,T3-A1,abs,SYN,TCSPi,17,33,385.0,0.03318058693042415,-0.37254901960784315,0.19908352158254491,
theta,C3-A1,rel,EAI,Narco,7,11,34.0,0.7242332830568124,0.11688311688311692,1.0,
theta,C3-A1,rel,EAI,SYN,7,19,90.0,0.18824566737610213,-0.35338345864661647,0.7529826695044085,
theta,C3-A1,rel,EAI,TCSPi,7,39,138.0,0.9761468167581759,-0.01098901098901095,1.0,
theta,C3-A1,rel,Narco,SYN,11,19,161.0,0.015950672304071024,-0.5406698564593302,0.07975336152035511,
theta,C3-A1,rel,Narco,TCSPi,11,39,264.0,0.2511529057634492,-0.23076923076923084,0.7534587172903475,
theta,C3-A1,rel,SYN,TCSPi,19,39,210.0,0.008030350426391714,0.4331983805668016,0.04818210255835029,*
theta,C3-A1,abs,EAI,Narco,6,9,17.0,0.2721278721278721,0.37037037037037035,1.0,
theta,C3-A1,abs,EAI,SYN,6,16,44.0,0.8018709876295016,0.08333333333333337,1.0,
theta,C3-A1,abs,EAI,TCSPi,6,36,113.0,0.8747638580757965,-0.04629629629629628,1.0,
theta,C3-A1,abs,Narco,SYN,9,16,94.0,0.22352896258794108,-0.3055555555555556,1.0,
theta,C3-A1,abs,Narco,TCSPi,9,36,223.0,0.08603387761460482,-0.3765432098765431,0.516203265687629,
theta,C3-A1,abs,SYN,TCSPi,16,36,335.0,0.3565690184389144,-0.16319444444444442,1.0,
theta,T4-A1,rel,EAI,Narco,7,11,34.0,0.7242332830568124,0.11688311688311692,1.0,
theta,T4-A1,rel,EAI,SYN,7,19,89.0,0.2087412587412587,-0.33834586466165417,0.8349650349650348,
theta,T4-A1,rel,EAI,TCSPi,7,38,140.0,0.8422077575792836,-0.05263157894736836,1.0,
theta,T4-A1,rel,Narco,SYN,11,19,146.0,0.07764863697373688,-0.3971291866028708,0.38824318486868437,
theta,T4-A1,rel,Narco,TCSPi,11,38,240.0,0.4648820173328211,-0.14832535885167464,1.0,
theta,T4-A1,rel,SYN,TCSPi,19,38,246.0,0.052590703962899686,0.31855955678670356,0.3155442237773981,
theta,T4-A1,abs,EAI,Narco,7,9,24.0,0.46975524475524477,0.23809523809523814,1.0,
theta,T4-A1,abs,EAI,SYN,7,17,58.0,0.9505928853754944,0.025210084033613467,1.0,
theta,T4-A1,abs,EAI,TCSPi,7,37,163.0,0.29668688626953543,-0.2586872586872586,1.0,
theta,T4-A1,abs,Narco,SYN,9,17,90.0,0.48351617808515135,-0.17647058823529416,1.0,
theta,T4-A1,abs,Narco,TCSPi,9,37,233.0,0.06762075318096528,-0.3993993993993994,0.40572451908579166,
theta,T4-A1,abs,SYN,TCSPi,17,37,393.0,0.14630463108940797,-0.24960254372019075,0.7315231554470398,
theta,C4-A1,rel,EAI,Narco,7,11,32.0,0.5961538461538461,0.16883116883116878,1.0,
theta,C4-A1,rel,EAI,SYN,7,19,82.0,0.39463970811796895,-0.23308270676691722,1.0,
theta,C4-A1,rel,EAI,TCSPi,7,39,132.0,0.9047905003822536,0.03296703296703296,1.0,
theta,C4-A1,rel,Narco,SYN,11,19,150.0,0.052789228899782506,-0.43540669856459324,0.2639461444989125,
theta,C4-A1,rel,Narco,TCSPi,11,39,256.0,0.3369556304720355,-0.19347319347319347,1.0,
theta,C4-A1,rel,SYN,TCSPi,19,39,231.0,0.021285892549901035,0.3765182186234818,0.1277153552994062,
theta,C4-A1,abs,EAI,Narco,7,10,21.0,0.19323323735088443,0.4,0.6694046369090145,
theta,C4-A1,abs,EAI,SYN,7,17,60.0,1.0,-0.008403361344537785,1.0,
theta,C4-A1,abs,EAI,TCSPi,7,36,160.0,0.27710496555467745,-0.26984126984126977,0.6694046369090145,
theta,C4-A1,abs,Narco,SYN,10,17,113.0,0.16735115922725363,-0.3294117647058823,0.6694046369090145,
theta,C4-A1,abs,Narco,TCSPi,10,36,265.0,0.024427695085345365,-0.4722222222222223,0.14656617051207219,
theta,C4-A1,abs,SYN,TCSPi,17,36,388.0,0.12041955935238177,-0.26797385620915026,0.6020977967619089,
alpha,T3-O1,rel,EAI,Narco,7,11,43.0,0.7242332830568124,-0.11688311688311681,1.0,
alpha,T3-O1,rel,EAI,SYN,7,19,80.0,0.4613165095773791,-0.20300751879699241,1.0,
alpha,T3-O1,rel,EAI,TCSPi,7,39,115.0,0.528867468240819,0.1575091575091575,1.0,
alpha,T3-O1,rel,Narco,SYN,11,19,122.0,0.46440055260803204,-0.16746411483253598,1.0,
alpha,T3-O1,rel,Narco,TCSPi,11,39,174.0,0.34887254512632315,0.18881118881118886,1.0,
alpha,T3-O1,rel,SYN,TCSPi,19,39,262.0,0.07356909595200588,0.29284750337381915,0.44141457571203524,
alpha,T3-O1,abs,EAI,Narco,6,9,6.0,0.011988011988011988,0.7777777777777778,0.07105708936372551,
alpha,T3-O1,abs,EAI,SYN,6,18,17.0,0.011842848227287586,0.6851851851851851,0.07105708936372551,
alpha,T3-O1,abs,EAI,TCSPi,6,32,62.0,0.18479860585123745,0.35416666666666663,0.3695972117024749,
alpha,T3-O1,abs,Narco,SYN,9,18,97.0,0.42531515781619333,-0.19753086419753085,0.42531515781619333,
alpha,T3-O1,abs,Narco,TCSPi,9,32,207.0,0.04900306924473769,-0.4375,0.19601227697895077,
alpha,T3-O1,abs,SYN,TCSPi,18,32,373.0,0.08766324588041159,-0.29513888888888884,0.2629897376412348,
alpha,Fp1-C3,rel,EAI,Narco,7,11,45.0,0.5961538461538461,-0.16883116883116878,1.0,
alpha,Fp1-C3,rel,EAI,SYN,7,18,60.0,0.8826045350530475,0.04761904761904767,1.0,
alpha,Fp1-C3,rel,EAI,TCSPi,7,38,97.0,0.27281889976161106,0.2706766917293233,0.8184566992848332,
alpha,Fp1-C3,rel,Narco,SYN,11,18,61.0,0.09189221109865607,0.38383838383838387,0.3675688443946243,
alpha,Fp1-C3,rel,Narco,TCSPi,11,38,79.0,0.0019154433004056636,0.6220095693779905,0.011492659802433983,*
alpha,Fp1-C3,rel,SYN,TCSPi,18,38,237.0,0.06675301516963451,0.3070175438596491,0.33376507584817255,
alpha,Fp1-C3,abs,EAI,Narco,7,11,32.0,0.5961538461538461,0.16883116883116878,1.0,
alpha,Fp1-C3,abs,EAI,SYN,7,17,35.0,0.12970089915170008,0.4117647058823529,0.7782053949102005,
alpha,Fp1-C3,abs,EAI,TCSPi,7,35,99.0,0.4459956895772043,0.19183673469387752,1.0,
alpha,Fp1-C3,abs,Narco,SYN,11,17,87.0,0.7777577411082133,0.06951871657754005,1.0,
alpha,Fp1-C3,abs,Narco,TCSPi,11,35,206.0,0.7377938534850551,-0.07012987012987004,1.0,
alpha,Fp1-C3,abs,SYN,TCSPi,17,35,359.0,0.2340710773946465,-0.20672268907563018,1.0,
alpha,Fp1-T3,rel,EAI,Narco,7,11,47.0,0.4789467068878833,-0.22077922077922074,1.0,
alpha,Fp1-T3,rel,EAI,SYN,7,17,65.0,0.756524050574394,-0.09243697478991586,1.0,
alpha,Fp1-T3,rel,EAI,TCSPi,7,38,73.0,0.0614307479877531,0.45112781954887216,0.2457229919510124,
alpha,Fp1-T3,rel,Narco,SYN,11,17,82.0,0.6048461261693899,0.12299465240641716,1.0,
alpha,Fp1-T3,rel,Narco,TCSPi,11,38,75.0,0.0013795977211648017,0.6411483253588517,0.008277586326988811,**
alpha,Fp1-T3,rel,SYN,TCSPi,17,38,156.0,0.0024257200789735583,0.5170278637770898,0.012128600394867791,*
alpha,Fp1-T3,abs,EAI,Narco,6,9,11.0,0.06633366633366634,0.5925925925925926,0.2653346653346654,
alpha,Fp1-T3,abs,EAI,SYN,6,16,18.0,0.026617345502794418,0.625,0.1597040730167665,
alpha,Fp1-T3,abs,EAI,TCSPi,6,36,47.0,0.02690502433763024,0.5648148148148149,0.1597040730167665,
alpha,Fp1-T3,abs,Narco,SYN,9,16,53.0,0.2949352987570909,0.26388888888888884,0.8848058962712727,
alpha,Fp1-T3,abs,Narco,TCSPi,9,36,136.0,0.46933096157192733,0.16049382716049387,0.9386619231438547,
alpha,Fp1-T3,abs,SYN,TCSPi,16,36,294.0,0.9131671210636492,-0.02083333333333326,0.9386619231438547,
alpha,Fp2-T4,rel,EAI,Narco,7,11,52.0,0.24629210658622425,-0.35064935064935066,0.7388763197586727,
alpha,Fp2-T4,rel,EAI,SYN,7,18,69.0,0.7450884127314332,-0.09523809523809534,0.7450884127314332,
alpha,Fp2-T4,rel,EAI,TCSPi,7,38,79.0,0.09438800941920626,0.40601503759398494,0.37755203767682505,
alpha,Fp2-T4,rel,Narco,SYN,11,18,77.0,0.33386750568353574,0.2222222222222222,0.7388763197586727,
alpha,Fp2-T4,rel,Narco,TCSPi,11,38,87.0,0.0035987575801824617,0.5837320574162679,0.02159254548109477,*
alpha,Fp2-T4,rel,SYN,TCSPi,18,38,212.0,0.023090749192294115,0.3801169590643275,0.11545374596147058,
alpha,Fp2-T4,abs,EAI,Narco,6,11,16.0,0.0982546864899806,0.5151515151515151,0.3930187459599224,
alpha,Fp2-T4,abs,EAI,SYN,6,17,21.0,0.036256649528960745,0.5882352941176471,0.21753989717376448,
alpha,Fp2-T4,abs,EAI,TCSPi,6,36,55.0,0.05781478695470992,0.4907407407407407,0.2890739347735496,
alpha,Fp2-T4,abs,Narco,SYN,11,17,95.0,0.9624810445979066,-0.016042780748663166,1.0,
alpha,Fp2-T4,abs,Narco,TCSPi,11,36,213.0,0.7156144315387338,-0.07575757575757569,1.0,
alpha,Fp2-T4,abs,SYN,TCSPi,17,36,312.0,0.9165307877357924,-0.019607843137254832,1.0,
alpha,T4-O2,rel,EAI,Narco,7,11,33.0,0.6589994972347913,0.1428571428571429,1.0,
alpha,T4-O2,rel,EAI,SYN,7,18,68.0,0.7903016434366548,-0.0793650793650793,1.0,
alpha,T4-O2,rel,EAI,TCSPi,7,39,105.0,0.3509003696986139,0.23076923076923073,1.0,
alpha,T4-O2,rel,Narco,SYN,11,18,126.0,0.233619658990177,-0.2727272727272727,1.0,
alpha,T4-O2,rel,Narco,TCSPi,11,39,200.0,0.7430081058078915,0.06759906759906764,1.0,
alpha,T4-O2,rel,SYN,TCSPi,18,39,234.0,0.04549827488503459,0.33333333333333337,0.2729896493102075,
alpha,T4-O2,abs,EAI,Narco,6,9,2.0,0.0015984015984015984,0.9259259259259259,0.00959040959040959,**
alpha,T4-O2,abs,EAI,SYN,6,17,29.0,0.13510059734316027,0.43137254901960786,0.4053017920294808,
alpha,T4-O2,abs,EAI,TCSPi,6,36,72.0,0.20767030908237583,0.33333333333333337,0.41534061816475165,
alpha,T4-O2,abs,Narco,SYN,9,17,127.0,0.007042237935079827,-0.6601307189542485,0.035211189675399136,*
alpha,T4-O2,abs,Narco,TCSPi,9,36,244.0,0.020745728878075215,-0.5061728395061729,0.08298291551230086,
alpha,T4-O2,abs,SYN,TCSPi,17,36,294.0,0.8265432662080221,0.039215686274509776,0.8265432662080221,
alpha,Fp1-A1,rel,EAI,Narco,7,11,43.0,0.7242332830568124,-0.11688311688311681,1.0,
alpha,Fp1-A1,rel,EAI,SYN,7,19,78.0,0.5335603526907874,-0.1729323308270676,1.0,
alpha,Fp1-A1,rel,EAI,TCSPi,7,37,88.0,0.19275940795032057,0.3204633204633205,0.7710376318012823,
alpha,Fp1-A1,rel,Narco,SYN,11,19,102.0,0.9314084359029517,0.02392344497607657,1.0,
alpha,Fp1-A1,rel,Narco,TCSPi,11,37,118.0,0.037065707673356284,0.4201474201474201,0.2223942460401377,
alpha,Fp1-A1,rel,SYN,TCSPi,19,37,237.0,0.04851973828025072,0.3257467994310099,0.2425986914012536,
alpha,Fp1-A1,abs,EAI,Narco,7,9,17.0,0.14160839160839161,0.46031746031746035,0.7080419580419581,
alpha,Fp1-A1,abs,EAI,SYN,7,15,35.0,0.2371939206304531,0.33333333333333337,0.8177026580790825,
alpha,Fp1-A1,abs,EAI,TCSPi,7,34,110.0,0.7732950092385265,0.07563025210084029,1.0,
alpha,Fp1-A1,abs,Narco,SYN,9,15,78.0,0.5509849875850934,-0.15555555555555545,1.0,
alpha,Fp1-A1,abs,Narco,TCSPi,9,34,209.0,0.09753949633630722,-0.36601307189542487,0.5852369780178434,
alpha,Fp1-A1,abs,SYN,TCSPi,15,34,314.0,0.20442566451977062,-0.2313725490196079,0.8177026580790825,
alpha,Fp2-C4,rel,EAI,Narco,6,11,33.0,1.0,0.0,1.0,
alpha,Fp2-C4,rel,EAI,SYN,6,18,41.0,0.4148860293025053,0.2407407407407407,0.8297720586050106,
alpha,Fp2-C4,rel,EAI,TCSPi,6,38,53.0,0.03614139689012066,0.5350877192982456,0.1807069844506033,
alpha,Fp2-C4,rel,Narco,SYN,11,18,73.0,0.25173732588657827,0.26262626262626265,0.7552119776597348,
alpha,Fp2-C4,rel,Narco,TCSPi,11,38,96.0,0.007024293305693993,0.5406698564593302,0.04214575983416396,*
alpha,Fp2-C4,rel,SYN,TCSPi,18,38,229.0,0.04841766164655812,0.33040935672514615,0.19367064658623248,
alpha,Fp2-C4,abs,EAI,Narco,7,9,31.0,1.0,0.015873015873015928,1.0,
alpha,Fp2-C4,abs,EAI,SYN,7,19,42.0,0.16920644572818483,0.368421052631579,0.8460322286409241,
alpha,Fp2-C4,abs,EAI,TCSPi,7,34,119.0,1.0,0.0,1.0,
alpha,Fp2-C4,abs,Narco,SYN,9,19,65.0,0.3251952035623663,0.23976608187134507,1.0,
alpha,Fp2-C4,abs,Narco,TCSPi,9,34,163.0,0.7767064514123079,-0.065359477124183,1.0,
alpha,Fp2-C4,abs,SYN,TCSPi,19,34,431.0,0.046171728949591914,-0.33436532507739947,0.27703037369755146,
alpha,Fp2-A1,rel,EAI,Narco,6,11,32.0,0.9612152553329023,0.030303030303030276,1.0,
alpha,Fp2-A1,rel,EAI,SYN,6,19,61.0,0.8283907396950876,-0.07017543859649122,1.0,
alpha,Fp2-A1,rel,EAI,TCSPi,6,37,64.0,0.1043147377147437,0.42342342342342343,0.5157748165818065,
alpha,Fp2-A1,rel,Narco,SYN,11,19,102.0,0.9314084359029517,0.02392344497607657,1.0,
alpha,Fp2-A1,rel,Narco,TCSPi,11,37,133.0,0.08596246943030107,0.34643734643734647,0.5157748165818065,
alpha,Fp2-A1,rel,SYN,TCSPi,19,37,256.0,0.10017829422626803,0.27169274537695587,0.5157748165818065,
alpha,Fp2-A1,abs,EAI,Narco,7,9,17.0,0.14160839160839161,0.46031746031746035,0.42482517482517484,
alpha,Fp2-A1,abs,EAI,SYN,7,18,33.0,0.07370501352194717,0.47619047619047616,0.31292666215715303,
alpha,Fp2-A1,abs,EAI,TCSPi,7,35,125.0,0.9473874733823384,-0.020408163265306145,1.0,
alpha,Fp2-A1,abs,Narco,SYN,9,18,74.0,0.7381351386116883,0.0864197530864198,1.0,
alpha,Fp2-A1,abs,Narco,TCSPi,9,35,222.0,0.06258533243143061,-0.4095238095238096,0.31292666215715303,
alpha,Fp2-A1,abs,SYN,TCSPi,18,35,466.0,0.004704924624737382,-0.47936507936507944,0.02822954774842429,*
alpha,T3-A1,rel,EAI,Narco,7,11,40.0,0.9298014077425841,-0.03896103896103886,1.0,
alpha,T3-A1,rel,EAI,SYN,7,18,82.0,0.2698855835240275,-0.3015873015873016,1.0,
alpha,T3-A1,rel,EAI,TCSPi,7,39,102.0,0.30561113116416583,0.25274725274725274,1.0,
alpha,T3-A1,rel,Narco,SYN,11,18,114.0,0.5145776023860105,-0.1515151515151516,1.0,
alpha,T3-A1,rel,Narco,TCSPi,11,39,153.0,0.15312294429613357,0.28671328671328666,0.7656147214806679,
alpha,T3-A1,rel,SYN,TCSPi,18,39,205.0,0.012493950699345,0.41595441595441596,0.07496370419607,
alpha,T3-A1,abs,EAI,Narco,6,9,12.0,0.08791208791208792,0.5555555555555556,0.26373626373626374,
alpha,T3-A1,abs,EAI,SYN,6,16,15.0,0.013348880221945237,0.6875,0.06674440110972618,
alpha,T3-A1,abs,EAI,TCSPi,6,33,86.0,0.6349296256417001,0.13131313131313127,1.0,
alpha,T3-A1,abs,Narco,SYN,9,16,78.0,0.7555146567388422,-0.08333333333333326,1.0,
alpha,T3-A1,abs,Narco,TCSPi,9,33,211.0,0.05736639547447813,-0.42087542087542085,0.22946558189791252,
alpha,T3-A1,abs,SYN,TCSPi,16,33,390.0,0.007458026363685236,-0.4772727272727273,0.04474815818211142,*
alpha,C3-A1,rel,EAI,Narco,7,11,46.0,0.5360105580693816,-0.19480519480519476,1.0,
alpha,C3-A1,rel,EAI,SYN,7,19,71.0,0.8213651565825477,-0.06766917293233088,1.0,
alpha,C3-A1,rel,EAI,TCSPi,7,39,100.0,0.27757699812497716,0.26739926739926745,1.0,
alpha,C3-A1,rel,Narco,SYN,11,19,94.0,0.6669303755920171,0.1004784688995215,1.0,
alpha,C3-A1,rel,Narco,TCSPi,11,39,120.0,0.027705646642834928,0.4405594405594405,0.16623387985700958,
alpha,C3-A1,rel,SYN,TCSPi,19,39,255.0,0.05674679309221798,0.31174089068825916,0.2837339654610899,
alpha,C3-A1,abs,EAI,Narco,7,9,21.0,0.29912587412587416,0.33333333333333337,1.0,
alpha,C3-A1,abs,EAI,SYN,7,17,38.0,0.1869206943577653,0.3613445378151261,0.9346034717888264,
alpha,C3-A1,abs,EAI,TCSPi,7,35,112.0,0.7412503843826049,0.08571428571428574,1.0,
alpha,C3-A1,abs,Narco,SYN,9,17,76.0,1.0,0.006535947712418277,1.0,
alpha,C3-A1,abs,Narco,TCSPi,9,35,194.0,0.2948939838180872,-0.2317460317460318,1.0,
alpha,C3-A1,abs,SYN,TCSPi,17,35,389.0,0.07587275805015313,-0.30756302521008405,0.45523654830091875,
alpha,T4-A1,rel,EAI,Narco,7,11,42.0,0.7914152840623428,-0.09090909090909083,0.9772248803827751,
alpha,T4-A1,rel,EAI,SYN,7,18,83.0,0.24430622009569378,-0.31746031746031744,0.9772248803827751,
alpha,T4-A1,rel,EAI,TCSPi,7,39,102.0,0.30561113116416583,0.25274725274725274,0.9772248803827751,
alpha,T4-A1,rel,Narco,SYN,11,18,115.0,0.486007339888778,-0.16161616161616155,0.9772248803827751,
alpha,T4-A1,rel,Narco,TCSPi,11,39,140.0,0.08308854391937692,0.3473193473193473,0.4154427195968846,
alpha,T4-A1,rel,SYN,TCSPi,18,39,202.0,0.010791473440782242,0.4245014245014245,0.06474884064469345,
alpha,T4-A1,abs,EAI,Narco,7,9,21.0,0.29912587412587416,0.33333333333333337,0.8973776223776224,
alpha,T4-A1,abs,EAI,SYN,7,18,41.0,0.19814437278968172,0.3492063492063492,0.7925774911587269,
alpha,T4-A1,abs,EAI,TCSPi,7,35,141.0,0.5515504889702579,-0.15102040816326534,1.0,
alpha,T4-A1,abs,Narco,SYN,9,18,81.0,1.0,0.0,1.0,
alpha,T4-A1,abs,Narco,TCSPi,9,35,231.0,0.033671191759972185,-0.46666666666666656,0.16835595879986093,
alpha,T4-A1,abs,SYN,TCSPi,18,35,461.0,0.006282411435461214,-0.4634920634920634,0.03769446861276728,*
alpha,C4-A1,rel,EAI,Narco,7,11,45.0,0.5961538461538461,-0.16883116883116878,1.0,
alpha,C4-A1,rel,EAI,SYN,7,19,78.0,0.5335603526907874,-0.1729323308270676,1.0,
alpha,C4-A1,rel,EAI,TCSPi,7,38,107.0,0.4328728182386719,0.19548872180451127,1.0,
alpha,C4-A1,rel,Narco,SYN,11,19,101.0,0.8972710782822758,0.03349282296650713,1.0,
alpha,C4-A1,rel,Narco,TCSPi,11,38,136.0,0.08234787600224076,0.34928229665071775,0.4117393800112038,
alpha,C4-A1,rel,SYN,TCSPi,19,38,249.0,0.05909548065026775,0.3102493074792244,0.35457288390160646,
alpha,C4-A1,abs,EAI,Narco,7,10,18.0,0.10880296174413821,0.48571428571428577,0.43521184697655285,
alpha,C4-A1,abs,EAI,SYN,7,18,42.0,0.22041605991262742,0.33333333333333337,0.6612481797378822,
alpha,C4-A1,abs,EAI,TCSPi,7,35,133.0,0.7412503843826049,-0.08571428571428563,1.0,
alpha,C4-A1,abs,Narco,SYN,10,18,104.0,0.5174536828656139,-0.15555555555555545,1.0,
alpha,C4-A1,abs,Narco,TCSPi,10,35,253.0,0.034359841928303755,-0.44571428571428573,0.1717992096415188,
alpha,C4-A1,abs,SYN,TCSPi,18,35,454.0,0.009289909408432882,-0.44126984126984126,0.05573945645059729,
beta,Fp1-C3,rel,EAI,Narco,7,10,58.0,0.024989716166186754,-0.6571428571428573,0.09995886466474702,
beta,Fp1-C3,rel,EAI,SYN,7,19,66.0,0.9999999999999998,0.007518796992481258,1.0,
beta,Fp1-C3,rel,EAI,TCSPi,7,38,112.0,0.5290269067920799,0.1578947368421053,1.0,
beta,Fp1-C3,rel,Narco,SYN,10,19,37.0,0.008332751739180275,0.6105263157894737,0.04166375869590137,*
beta,Fp1-C3,rel,Narco,TCSPi,10,38,20.0,1.6850732452706173e-05,0.8947368421052632,0.00010110439471623704,***
beta,Fp1-C3,rel,SYN,TCSPi,19,38,313.0,0.42134823269748845,0.13296398891966754,1.0,
beta,Fp1-C3,abs,EAI,Narco,6,9,38.0,0.22377622377622375,-0.40740740740740744,0.5404023893726411,
beta,Fp1-C3,abs,EAI,SYN,6,17,29.0,0.13510059734316027,0.43137254901960786,0.5404023893726411,
beta,Fp1-C3,abs,EAI,TCSPi,6,37,71.0,0.17050370592478842,0.36036036036036034,0.5404023893726411,
beta,Fp1-C3,abs,Narco,SYN,9,17,35.0,0.027121196267595894,0.542483660130719,0.16272717760557537,
beta,Fp1-C3,abs,Narco,TCSPi,9,37,91.0,0.037826131046375326,0.45345345345345345,0.18913065523187664,
beta,Fp1-C3,abs,SYN,TCSPi,17,37,350.0,0.5144937497256616,-0.11287758346581866,0.5404023893726411,
beta,Fp1-T3,rel,EAI,Narco,7,11,56.0,0.12594268476621417,-0.4545454545454546,0.5037707390648567,
beta,Fp1-T3,rel,EAI,SYN,7,18,63.0,1.0,0.0,1.0,
beta,Fp1-T3,rel,EAI,TCSPi,7,36,120.0,0.8595666586829975,0.04761904761904767,1.0,
beta,Fp1-T3,rel,Narco,SYN,11,18,53.0,0.04084766997128589,0.46464646464646464,0.20423834985642944,
beta,Fp1-T3,rel,Narco,TCSPi,11,36,72.0,0.0016143240870365489,0.6363636363636364,0.009685944522219294,**
beta,Fp1-T3,rel,SYN,TCSPi,18,36,298.0,0.6398492378956886,0.08024691358024694,1.0,
beta,Fp1-T3,abs,EAI,Narco,6,9,27.0,1.0,0.0,1.0,
beta,Fp1-T3,abs,EAI,SYN,6,16,33.0,0.2938361947649873,0.3125,1.0,
beta,Fp1-T3,abs,EAI,TCSPi,6,35,93.0,0.67903214758157,0.11428571428571432,1.0,
beta,Fp1-T3,abs,Narco,SYN,9,16,47.0,0.1654297590683368,0.3472222222222222,0.9925785544100207,
beta,Fp1-T3,abs,Narco,TCSPi,9,35,132.0,0.4669852613467842,0.16190476190476188,1.0,
beta,Fp1-T3,abs,SYN,TCSPi,16,35,344.0,0.19738183973043177,-0.22857142857142865,0.9925785544100207,
beta,T3-O1,rel,EAI,Narco,7,10,55.0,0.055327025915261216,-0.5714285714285714,0.22130810366104486,
beta,T3-O1,rel,EAI,SYN,7,18,74.0,0.5339005616808821,-0.17460317460317465,1.0,
beta,T3-O1,rel,EAI,TCSPi,7,37,149.0,0.5501016060095977,-0.1505791505791505,1.0,
beta,T3-O1,rel,Narco,SYN,10,18,40.0,0.017627869111895726,0.5555555555555556,0.08813934555947864,
beta,T3-O1,rel,Narco,TCSPi,10,37,63.0,0.0015872367449585665,0.6594594594594594,0.009523420469751399,**
beta,T3-O1,rel,SYN,TCSPi,18,37,343.0,0.8646914036832938,-0.03003003003003002,1.0,
beta,T3-O1,abs,EAI,Narco,6,9,14.0,0.14465534465534466,0.4814814814814815,0.5786213786213786,
beta,T3-O1,abs,EAI,SYN,6,17,22.0,0.043765540333046055,0.5686274509803921,0.2625932419982763,
beta,T3-O1,abs,EAI,TCSPi,6,34,82.0,0.4699336699336699,0.196078431372549,0.9398673398673398,
beta,T3-O1,abs,Narco,SYN,9,17,74.0,0.9141594109425056,0.0326797385620915,0.9398673398673398,
beta,T3-O1,abs,Narco,TCSPi,9,34,195.0,0.21536624648591984,-0.27450980392156854,0.6460987394577595,
beta,T3-O1,abs,SYN,TCSPi,17,34,389.0,0.0467956266687196,-0.3460207612456747,0.2625932419982763,
beta,Fp2-T4,rel,EAI,Narco,6,10,53.0,0.010989010989010988,-0.7666666666666666,0.04395604395604395,*
beta,Fp2-T4,rel,EAI,SYN,6,18,47.0,0.6729174715444739,0.12962962962962965,1.0,
beta,Fp2-T4,rel,EAI,TCSPi,6,37,95.0,0.5957899460899729,0.14414414414414412,1.0,
beta,Fp2-T4,rel,Narco,SYN,10,18,27.0,0.0027296781893087225,0.7,0.013648390946543612,*
beta,Fp2-T4,rel,Narco,TCSPi,10,37,18.0,1.5049582659741484e-05,0.9027027027027027,9.02974959584489e-05,***
beta,Fp2-T4,rel,SYN,TCSPi,18,37,323.0,0.8646914036832938,0.03003003003003002,1.0,
beta,Fp2-T4,abs,EAI,Narco,6,10,22.0,0.42782217782217785,0.2666666666666667,1.0,
beta,Fp2-T4,abs,EAI,SYN,6,17,36.0,0.31925663962277234,0.2941176470588235,1.0,
beta,Fp2-T4,abs,EAI,TCSPi,6,37,86.0,0.40006436528513134,0.22522522522522526,1.0,
beta,Fp2-T4,abs,Narco,SYN,10,17,79.0,0.7824305201097079,0.07058823529411762,1.0,
beta,Fp2-T4,abs,Narco,TCSPi,10,37,204.0,0.6305985173912259,-0.10270270270270276,1.0,
beta,Fp2-T4,abs,SYN,TCSPi,17,37,360.0,0.4019738616085826,-0.1446740858505564,1.0,
beta,Fp1-A1,rel,EAI,Narco,7,11,53.0,0.2109100050276521,-0.37662337662337664,1.0,
