feature,VIF
interval_mean,49.800345306767554
duration_mean,23.830703479064887
duration_sd,23.060629912016367
interval_variance,15.86227775242607
interval_median,12.079283696157427
pct_tonic,11.987981214610512
duration_max,6.866884350752522
short_density_per_min,6.2186085795009145
long_density_per_min,5.147280993905688
mean_relative_amplitude,4.752125786216527
duration_median,4.541178554605822
max_relative_amplitude,4.09667709015751
AI_atonia_index,3.6842941002615595
interval_cv,3.599753835884686
phasic_tonic_ratio,2.6619320509712243
medium_density_per_min,2.5966179007198713
episode_count,2.11276648271609
progression_index,1.7588205328240516
