feature,VIF
pct_epochs_phasic,81.5458851680615
interval_mean,50.5494338782527
duration_mean,31.61657390089626
duration_sd,23.222382154724748
long_density_per_min,17.387628231347897
interval_variance,16.278731620144292
short_density_per_min,14.005929402007528
pct_tonic,12.365811632946421
interval_median,12.098525142200208
medium_density_per_min,8.162840185624185
duration_max,7.54741166645302
mean_relative_amplitude,4.765203629689189
duration_median,4.541625772612797
max_relative_amplitude,4.1103854547574565
AI_atonia_index,3.7013091232426287
interval_cv,3.686986191874312
phasic_tonic_ratio,2.8263959617856784
episode_count,2.1340897848874163
progression_index,1.7772667612292616
