feature,VIF
phasic_density_per_min,inf
short_density_per_min,inf
medium_density_per_min,inf
long_density_per_min,inf
pct_any_RSWA,1364.4891049824812
pct_tonic,1189.9321175076157
pct_epochs_phasic,85.96521491596658
interval_mean,63.56182413051022
duration_mean,36.869188969887254
duration_sd,23.395468228303148
interval_variance,18.259542297266
interval_median,12.403545633894472
duration_max,7.642838123555238
mean_relative_amplitude,4.980327633104658
interval_cv,4.583018161372763
duration_median,4.573465513008559
max_relative_amplitude,4.12834962124395
AI_atonia_index,3.7813008901460234
phasic_tonic_ratio,2.830319278566861
episode_count,2.1487036800970056
progression_index,1.8091441435126745
