feature,VIF
duration_sd,5.729106244146763
duration_max,5.410157842819607
mean_relative_amplitude,4.452838051929766
short_density_per_min,4.255956233541811
long_density_per_min,4.00278803199862
interval_median,3.9869045813388295
max_relative_amplitude,3.9215587785536634
interval_variance,3.5565252294542535
interval_cv,2.9426423355588667
duration_median,2.16092937151142
AI_atonia_index,2.0987078645994712
phasic_tonic_ratio,2.055331142078166
medium_density_per_min,2.0527627354087166
episode_count,1.9606816331974994
progression_index,1.2223383120221967
