feature,VIF
duration_mean,23.529921199749726
duration_sd,23.060174458664346
pct_tonic,11.885838956378443
duration_max,6.859674373308601
short_density_per_min,5.236804685074098
long_density_per_min,4.888487268503191
mean_relative_amplitude,4.749820951480432
duration_median,4.488634422697933
max_relative_amplitude,4.089475813045263
interval_median,4.016868230489417
interval_variance,3.759168091507797
AI_atonia_index,3.6842669167019686
interval_cv,3.2000122104834996
phasic_tonic_ratio,2.627229664078139
medium_density_per_min,2.343139309689437
episode_count,2.0620852945597807
progression_index,1.273520563444581
