feature,VIF
mean_relative_amplitude,4.329951910528519
interval_median,3.950749969795433
max_relative_amplitude,3.9013493063554026
long_density_per_min,3.624910568492835
short_density_per_min,3.5569601240185293
interval_variance,3.511627337187458
interval_cv,2.8970493814344156
duration_median,2.160906747540214
AI_atonia_index,2.0894028944985057
phasic_tonic_ratio,1.9275668304857128
episode_count,1.925588492175494
medium_density_per_min,1.8914107088800545
duration_max,1.677318269951002
progression_index,1.2195795877743765
