,AI_atonia_index,pct_epochs_phasic,pct_any_RSWA,pct_tonic,episode_count,phasic_density_per_min,duration_mean,duration_median,duration_sd,duration_max,interval_mean,interval_median,interval_variance,interval_cv,mean_relative_amplitude,max_relative_amplitude,short_density_per_min,medium_density_per_min,long_density_per_min,phasic_tonic_ratio,progression_index
AI_atonia_index,1.0,-0.721367053998633,-0.8776486671223512,-0.889706083390294,-0.33414447434155575,-0.6772932330827068,-0.4706115557974313,-0.3647515869773552,-0.3694326725905674,-0.30936017381974,0.678596572788052,0.647446745729124,0.6582365003417634,0.3566643882433356,0.27403964456596036,0.2119207108680793,-0.4893628703108896,-0.5085647104331736,-0.6382501708817497,0.6584005468215994,0.2786481835025269
pct_epochs_phasic,-0.721367053998633,1.0,0.8869993164730007,0.8627751196172249,0.5482993385327214,0.9511141490088859,0.5824783491479143,0.4890334213122599,0.42758714969241285,0.335456581212022,-0.9439709089141154,-0.7662252136572595,-0.9273547505126453,-0.5243745727956255,0.10523581681476417,0.17878332194121668,0.6967733179700368,0.6909048654762551,0.8942993848257005,-0.22930963773069035,-0.30652393888284546
pct_any_RSWA,-0.8776486671223512,0.8869993164730007,1.0,0.9956254272043745,0.39555421899184084,0.8257826384142174,0.5797442224620906,0.47836192959261814,0.4459330143540669,0.3315797668541753,-0.8227260610312565,-0.6883316311956236,-0.8347505126452495,-0.5427477785372522,-0.11969924812030075,-0.055775803144224194,0.5726278423770865,0.6394209080694291,0.7793028024606972,-0.6040464798359536,-0.318363273929121
pct_tonic,-0.889706083390294,0.8627751196172249,0.9956254272043745,1.0,0.39074205734515777,0.8015584415584416,0.5707352750323009,0.4631591583120209,0.4521667805878333,0.3431461303515525,-0.7977771550231139,-0.682195474180886,-0.8073820915926179,-0.5192344497607655,-0.1470403280929597,-0.08196855775803144,0.5563303306032102,0.6137472830003853,0.7572932330827067,-0.6473000683526999,-0.31598446988980006
episode_count,-0.33414447434155575,0.5482993385327214,0.39555421899184084,0.39074205734515777,1.0,0.5671788704476911,0.1813048976764544,0.13007262275746362,0.12856127308354431,0.4576608361199593,-0.5466899074938724,-0.48948832786973473,-0.48801060881149316,-0.05704872315797856,0.10823262430906214,0.35563515078640173,0.576553915232288,0.2538860103864198,0.5118253405970667,0.014067370268286592,-0.10256480371328423
phasic_density_per_min,-0.6772932330827068,0.9511141490088859,0.8257826384142174,0.8015584415584416,0.5671788704476911,1.0,0.34305087527031924,0.3039240841753972,0.2095693779904306,0.20992469150918505,-0.9969719547188108,-0.8376539164069396,-0.9656322624743677,-0.5149145591250854,0.010854408749145592,0.13249487354750514,0.850560576722185,0.6539392200094316,0.8892959671907039,-0.1534107997265892,-0.23130451460500703
duration_mean,-0.4706115557974313,0.5824783491479143,0.5797442224620906,0.5707352750323009,0.1813048976764544,0.34305087527031924,1.0,0.6814204482067086,0.8782014914866226,0.5024353710912732,-0.3301480539720297,-0.16649233577539194,-0.35952398855240797,-0.34582601385643047,0.17687065530594526,0.06683572683496415,-0.05002768723966758,0.4595309541656394,0.4324294766299011,-0.36843724154819374,-0.38400175037637635
duration_median,-0.3647515869773552,0.4890334213122599,0.47836192959261814,0.4631591583120209,0.13007262275746362,0.3039240841753972,0.6814204482067086,1.0,0.4364475936537791,0.2019436747882875,-0.29040611006154354,-0.12957028111979357,-0.3126090366672287,-0.2674275824942224,0.27488120901840296,0.12277140781458623,-0.07242828659220153,0.452518479325983,0.38801543892617424,-0.2273356089875067,-0.3298245920296535
duration_sd,-0.3694326725905674,0.42758714969241285,0.4459330143540669,0.4521667805878333,0.12856127308354431,0.2095693779904306,0.8782014914866226,0.4364475936537791,1.0,0.6572642127013771,-0.19744495861676978,-0.08571444329961621,-0.24500341763499658,-0.2889131920710868,0.13274094326725905,0.08404647983595352,-0.040415641613740214,0.31032550003583353,0.26591934381408067,-0.36749145591250854,-0.283638203470068
duration_max,-0.30936017381974,0.335456581212022,0.3315797668541753,0.3431461303515525,0.4576608361199593,0.20992469150918505,0.5024353710912732,0.2019436747882875,0.6572642127013771,1.0,-0.18488686087951997,-0.16486417367932707,-0.2277548335764716,-0.1788140572821676,-0.0011854721590109658,0.1348554680345177,0.14131478525375107,0.16551980798901625,0.21702150456921016,-0.2913377930239652,-0.14886499590817182
