group,thr_volts,thr_uV,n_patients,total_windows
arm,5.578091542476199e-07,0.5578091542476199,43,7460568
chin,2.4849287976115517e-07,0.24849287976115517,53,4450989
legs,1.7641552285976411e-07,0.1764155228597641,53,8181273
