band,channel,value,group,mean,sd,n
delta,T3-A1,rel,TCSPi,0.5593095452335743,0.06943106252196914,39
delta,T3-A1,abs,EAI,2.1826547964546195e-09,3.6515600351630807e-09,7
delta,T3-A1,abs,Narco,3.773920374735569e-08,1.0830535697571778e-07,11
delta,T3-A1,abs,SYN,8.778223702787921e-08,3.5533790161615184e-07,19
delta,T3-A1,abs,TCSPi,6.2425518127673395e-09,3.2260653595594114e-08,39
delta,C3-A1,rel,EAI,0.5249581894158062,0.060113379095617946,7
delta,C3-A1,rel,Narco,0.6008585389918821,0.10080491319226136,11
delta,C3-A1,rel,SYN,0.51945247021342,0.12450062871228709,19
delta,C3-A1,rel,TCSPi,0.5188692668027551,0.06547419316062894,39
delta,C3-A1,abs,EAI,2.5390392127004506e-09,3.6206847122797388e-09,7
delta,C3-A1,abs,Narco,3.787465518172374e-08,1.0829686334050998e-07,11
delta,C3-A1,abs,SYN,8.306387250221177e-08,3.5531238603987307e-07,19
delta,C3-A1,abs,TCSPi,9.719013774158665e-10,1.4276082028327477e-09,39
delta,T4-A1,rel,EAI,0.4899905460536374,0.08426082613564907,7
delta,T4-A1,rel,Narco,0.5717803946400773,0.12862147083905756,11
delta,T4-A1,rel,SYN,0.5192922427441863,0.11954697633097472,19
delta,T4-A1,rel,TCSPi,0.521379861039956,0.0767269814141729,39
delta,T4-A1,abs,EAI,2.2293953728762687e-09,3.6447701733628264e-09,7
delta,T4-A1,abs,Narco,3.8784549249315074e-08,1.0819779699570179e-07,11
delta,T4-A1,abs,SYN,8.378372992224693e-08,3.5495040035371917e-07,19
delta,T4-A1,abs,TCSPi,1.580193026503927e-09,2.447077480528794e-09,39
delta,C4-A1,rel,EAI,0.5225622187165674,0.05132834867595234,7
delta,C4-A1,rel,Narco,0.594769961035312,0.11089045904908189,11
delta,C4-A1,rel,SYN,0.5305064403919639,0.10965213644579351,19
delta,C4-A1,rel,TCSPi,0.5216240856277887,0.06072433712964119,39
delta,C4-A1,abs,EAI,2.3144027638973265e-09,3.5570828551413936e-09,7
delta,C4-A1,abs,Narco,3.9971868443024006e-08,1.07678672376819e-07,11
delta,C4-A1,abs,SYN,8.30438892894627e-08,3.5519333553982476e-07,19
delta,C4-A1,abs,TCSPi,1.0484466903998492e-09,1.3052649367935998e-09,39
theta,T3-O1,rel,EAI,0.17939242639704656,0.05386646732299191,7
theta,T3-O1,rel,Narco,0.16453581814628457,0.049591199473429125,11
theta,T3-O1,rel,SYN,0.1611908650993106,0.05279492300945601,19
theta,T3-O1,rel,TCSPi,0.17917428074778455,0.04810471996409791,39
theta,T3-O1,abs,EAI,5.137267286263348e-11,4.5708511718060636e-11,7
theta,T3-O1,abs,Narco,6.13845231185111e-10,1.611861829259607e-09,11
theta,T3-O1,abs,SYN,5.974281427103758e-10,2.335709076006023e-09,19
theta,T3-O1,abs,TCSPi,1.1980799213639358e-09,6.919976494954665e-09,39
theta,Fp1-C3,rel,EAI,0.12442598596285905,0.04401797820657514,7
theta,Fp1-C3,rel,Narco,0.15830698648236732,0.0397215029753544,11
theta,Fp1-C3,rel,SYN,0.12314865927909917,0.04094346814172855,19
theta,Fp1-C3,rel,TCSPi,0.132765169570282,0.0292915650843561,39
theta,Fp1-C3,abs,EAI,3.4268390046838846e-11,2.741908736337155e-11,7
theta,Fp1-C3,abs,Narco,1.0627264671526394e-10,1.2758801244824464e-10,11
theta,Fp1-C3,abs,SYN,3.3658919125093183e-10,1.268452185075198e-09,19
theta,Fp1-C3,abs,TCSPi,7.399713710102768e-11,1.9243498252984418e-10,39
theta,Fp1-T3,rel,EAI,0.1364018337209843,0.04229400666844854,7
theta,Fp1-T3,rel,Narco,0.15655991521282758,0.04076675928264908,11
theta,Fp1-T3,rel,SYN,0.12985594324008776,0.04931859901595423,19
theta,Fp1-T3,rel,TCSPi,0.15010784104032235,0.03691521295541285,39
theta,Fp1-T3,abs,EAI,2.9086819237633156e-11,1.703997901367913e-11,7
theta,Fp1-T3,abs,Narco,1.200993038801481e-10,1.9068629168693038e-10,11
theta,Fp1-T3,abs,SYN,8.851955248175217e-10,2.6130844304213996e-09,19
theta,Fp1-T3,abs,TCSPi,1.196030882785311e-09,6.921033422327907e-09,39
theta,Fp2-T4,rel,EAI,0.15212525686289943,0.06111820446429131,7
theta,Fp2-T4,rel,Narco,0.15809351243643896,0.04502087208339508,11
theta,Fp2-T4,rel,SYN,0.13276615179266268,0.04293301796509027,19
theta,Fp2-T4,rel,TCSPi,0.14990930117089166,0.043391309761189045,39
theta,Fp2-T4,abs,EAI,3.7380301848633183e-11,3.4599399854032567e-11,7
theta,Fp2-T4,abs,Narco,1.027089740052076e-10,1.0225003203261174e-10,11
theta,Fp2-T4,abs,SYN,6.153208778326945e-11,7.832634421246559e-11,19
theta,Fp2-T4,abs,TCSPi,5.0601864992613344e-11,3.782890094252756e-11,39
theta,Fp2-C4,rel,EAI,0.12728620640041288,0.0477074622769269,7
theta,Fp2-C4,rel,Narco,0.15520673009288086,0.03499201854248904,11
theta,Fp2-C4,rel,SYN,0.12202523134138861,0.038133655894314104,19
theta,Fp2-C4,rel,TCSPi,0.1311842950905444,0.03253660920969579,39
theta,Fp2-C4,abs,EAI,3.211879073580576e-11,1.5579591895430118e-11,7
theta,Fp2-C4,abs,Narco,2.605274193108582e-10,5.3420000833207e-10,11
theta,Fp2-C4,abs,SYN,4.672842080871907e-11,3.78685868922654e-11,19
theta,Fp2-C4,abs,TCSPi,4.271258686777552e-11,4.157658262169078e-11,39
theta,Fp1-A1,rel,EAI,0.14895205218701166,0.04525540930758318,7
theta,Fp1-A1,rel,Narco,0.15961277655786493,0.04237863752319148,11
theta,Fp1-A1,rel,SYN,0.13231560702949544,0.04563158245377354,19
theta,Fp1-A1,rel,TCSPi,0.15581632706175583,0.03638374400654815,39
theta,Fp1-A1,abs,EAI,1.1014071395898685e-10,8.712902809759926e-11,7
theta,Fp1-A1,abs,Narco,4.2799101960535656e-09,1.3289018538202344e-08,11
theta,Fp1-A1,abs,SYN,5.251341635225214e-09,2.0972566145218014e-08,19
theta,Fp1-A1,abs,TCSPi,1.2856102091816602e-10,2.0256523471824652e-10,39
theta,T4-O2,rel,EAI,0.183729016386357,0.052707510190482684,7
theta,T4-O2,rel,Narco,0.16730158035284837,0.05225133381248395,11
theta,T4-O2,rel,SYN,0.16365026576846362,0.04505614382953206,19
theta,T4-O2,rel,TCSPi,0.18166149534919745,0.047526991383409836,39
theta,T4-O2,abs,EAI,5.3906947662958946e-11,2.954359983390878e-11,7
theta,T4-O2,abs,Narco,2.9205183327453727e-09,7.474834990260421e-09,11
theta,T4-O2,abs,SYN,6.144792585149237e-11,4.591043607020407e-11,19
theta,T4-O2,abs,TCSPi,7.2803617695464e-11,6.933760386853453e-11,39
theta,Fp2-A1,rel,EAI,0.15363678938760547,0.048722403666640254,7
theta,Fp2-A1,rel,Narco,0.16141629454442735,0.04715456872826042,11
