band,channel,value,p_kw
gamma_haut,Fp1-T3,rel,0.011608549911714835
gamma_haut,Fp1-T3,abs,0.08332199303192837
gamma_haut,Fp1-C3,rel,0.02466682183151523
gamma_haut,Fp1-C3,abs,0.22064298009065642
gamma_haut,T3-O1,rel,0.0014098848733394506
gamma_haut,T3-O1,abs,0.0031012015439932424
gamma_haut,Fp2-T4,rel,0.0033431717433269775
gamma_haut,Fp2-T4,abs,0.03557812264696015
gamma_haut,Fp2-C4,rel,0.020172605345689456
gamma_haut,Fp2-C4,abs,0.22524830739582438
gamma_haut,T4-O2,rel,0.00012966452613356611
gamma_haut,T4-O2,abs,0.0007349822724685422
gamma_haut,Fp1-A1,rel,0.040979394234152935
gamma_haut,Fp1-A1,abs,0.21227148794778664
gamma_haut,Fp2-A1,rel,0.026989081042355402
gamma_haut,Fp2-A1,abs,0.031228267831090725
gamma_haut,T3-A1,rel,0.0028692910475643526
gamma_haut,T3-A1,abs,0.002929020956487805
gamma_haut,C3-A1,rel,0.011894106903736374
gamma_haut,C3-A1,abs,0.030012452774516096
gamma_haut,T4-A1,rel,0.01080337425451739
gamma_haut,T4-A1,abs,0.013886749017038185
gamma_haut,C4-A1,rel,0.02354323277737595
gamma_haut,C4-A1,abs,0.011737541788590265
