feature,importance
Delta_var_23,0.001369688
Alpha_wavelet_9_5,0.0013641951
Alpha_skew_4,0.0013593684
Theta_wavelet_21_5,0.0013565056
Alpha_pca_var_4,0.0013364137
Theta_var_13,0.0013287303
Beta_psd_mean_1,0.0013270131
Delta_var_13,0.0013249043
Delta_var_18,0.0012952357
Gamma_var_29,0.0012887621
Gamma_var_23,0.0012569914
Beta_wavelet_16_7,0.0012472264
Alpha_psd_mean_6,0.0012428389
Beta_var_11,0.0012330806
Theta_std_18,0.0012289088
Delta_wavelet_24_8,0.0012200603
Gamma_psd_mean_13,0.001210901
Beta_wavelet_0_7,0.0012075586
Alpha_wavelet_6_7,0.0011908518
Beta_wavelet_21_6,0.001175187
Gamma_var_19,0.0011646086
Gamma_wavelet_29_6,0.0011644129
Beta_wavelet_24_8,0.0011537297
Beta_wavelet_5_7,0.001151372
Theta_wavelet_24_5,0.0011441665
Beta_wavelet_26_6,0.0011389591
Alpha_wavelet_20_8,0.0011327417
Gamma_wavelet_29_9,0.0011222543
Theta_wavelet_24_7,0.0011187446
Beta_psd_mean_17,0.0010848729
Delta_pca_var_3,0.0010491319
Theta_psd_mean_14,0.0010371377
Gamma_wavelet_7_7,0.0010350463
Delta_psd_mean_6,0.0010313657
Delta_wavelet_18_7,0.0010200691
Alpha_std_21,0.0010198632
Delta_wavelet_7_6,0.0010186458
Gamma_wavelet_19_9,0.0010070135
Beta_wavelet_13_7,0.0010003923
Delta_skew_3,0.0009943581
Alpha_var_15,0.0009917188
Alpha_wavelet_13_8,0.0009767291
Gamma_psd_mean_2,0.00097478915
Beta_std_4,0.0009721556
Delta_var_3,0.0009653062
Beta_wavelet_20_8,0.0009570061
Beta_var_5,0.0009554876
Gamma_mean_0,0.0009493681
Delta_wavelet_9_6,0.00094818644
Beta_wavelet_13_5,0.0009479657
Theta_wavelet_5_6,0.0009329856
Theta_wavelet_16_7,0.0009322206
Theta_wavelet_0_5,0.0009229292
Gamma_skew_13,0.0009165208
Gamma_wavelet_20_8,0.0009066354
Delta_std_24,0.0009038122
Delta_skew_17,0.0008981857
Theta_var_23,0.0008914156
Gamma_std_7,0.00088835263
Delta_std_5,0.00088667887
Gamma_wavelet_18_9,0.00088360545
Alpha_wavelet_13_7,0.0008774675
Theta_wavelet_23_7,0.0008740461
Beta_std_29,0.00086897134
Theta_var_7,0.0008687417
Gamma_wavelet_2_9,0.00086758286
Theta_psd_mean_18,0.0008615414
Delta_psd_mean_22,0.000858975
Delta_wavelet_16_6,0.0008526567
Alpha_skew_7,0.0008463983
Theta_var_1,0.00084112224
Delta_std_18,0.0008410105
Beta_skew_24,0.00083770603
Theta_var_24,0.0008288332
Alpha_skew_27,0.0008280606
Beta_wavelet_17_8,0.0007999618
Theta_wavelet_18_6,0.0007965276
Theta_std_25,0.00078804645
Alpha_std_6,0.0007838049
Gamma_var_7,0.0007705443
Delta_std_4,0.00076716207
Alpha_var_13,0.00076476764
Theta_var_11,0.0007446217
Beta_var_1,0.00072982395
Gamma_psd_mean_14,0.00072905584
Gamma_wavelet_19_8,0.0007250652
Delta_psd_mean_24,0.00072205975
Gamma_wavelet_6_8,0.00072203984
Delta_psd_mean_20,0.0007201719
Delta_var_26,0.00070046313
Alpha_wavelet_4_7,0.0006950141
Delta_var_20,0.0006876243
Alpha_var_9,0.0006650407
Alpha_psd_mean_21,0.00065540534
Gamma_wavelet_7_6,0.0006540765
Alpha_wavelet_23_7,0.0006441173
Delta_skew_14,0.0006439433
Gamma_power_0,0.000642234
Beta_psd_mean_14,0.00064092135
Alpha_psd_mean_7,0.0006322097
Theta_wavelet_0_8,0.0006243227
Theta_pca_var_0,0.0006175074
Theta_std_4,0.00061265327
Gamma_wavelet_19_6,0.00061076303
Theta_std_22,0.00061003416
Alpha_wavelet_29_5,0.00060585357
Beta_wavelet_5_6,0.0006045721
Alpha_wavelet_7_7,0.00059956906
Beta_wavelet_1_7,0.00059864327
Theta_wavelet_2_3,0.0005919717
Delta_wavelet_13_8,0.0005907408
Theta_wavelet_11_6,0.0005877292
Alpha_wavelet_24_7,0.0005794487
Beta_wavelet_0_9,0.0005794157
Delta_var_6,0.0005778322
Delta_wavelet_10_6,0.00057278574
Theta_power_23,0.00057192286
Gamma_wavelet_9_9,0.00057003315
Alpha_wavelet_17_9,0.00056960917
Alpha_var_6,0.0005694742
Gamma_pca_var_3,0.00056759984
Delta_psd_mean_23,0.0005624383
Delta_mean_14,0.00056049315
Delta_power_16,0.0005598233
Alpha_wavelet_21_6,0.0005551951
Alpha_wavelet_6_5,0.00054603314
Gamma_wavelet_11_7,0.0005457322
Delta_mean_13,0.00054327445
Delta_wavelet_0_1,0.0005396944
Gamma_wavelet_0_5,0.00052937795
Beta_wavelet_17_7,0.00052785705
Beta_wavelet_27_9,0.00051997055
Gamma_var_15,0.0005197937
Alpha_var_7,0.00051369367
Delta_wavelet_22_6,0.000512863
Beta_var_0,0.0005089464
Delta_mean_17,0.0005039396
Gamma_wavelet_18_5,0.00049601606
Delta_wavelet_7_7,0.0004943612
Beta_var_17,0.0004933258
Theta_wavelet_5_7,0.00048750846
Alpha_wavelet_16_8,0.00048734303
Beta_wavelet_2_6,0.00048558385
Theta_var_14,0.00048312562
Alpha_wavelet_18_1,0.0004820397
Delta_wavelet_17_5,0.0004814547
Theta_psd_mean_6,0.00047407314
Beta_wavelet_7_6,0.00046771875
Delta_psd_mean_1,0.0004570837
Delta_std_12,0.00045403355
Alpha_std_16,0.00045385025
Delta_wavelet_11_7,0.00045113836
Delta_psd_mean_4,0.00044661635
Alpha_wavelet_29_6,0.00043885325
Alpha_wavelet_4_8,0.00043865066
Beta_wavelet_15_5,0.00043832394
Gamma_mean_16,0.00043475517
Alpha_psd_mean_24,0.0004344566
Theta_psd_mean_13,0.00043294663
Gamma_wavelet_11_2,0.00043284261
Beta_psd_mean_16,0.0004285398
Theta_var_18,0.0004241356
Delta_wavelet_13_7,0.00042335413
genre,0.00040812153
Theta_wavelet_7_6,0.00040591756
Delta_psd_mean_26,0.0004035731
Gamma_std_4,0.0003985696
Delta_wavelet_21_6,0.00039476698
Delta_std_16,0.00039340986
Delta_mean_2,0.0003918487
Beta_skew_4,0.00039070201
Delta_wavelet_15_6,0.00038607183
Theta_wavelet_9_0,0.0003838086
Gamma_ica_infomax_energy_0,0.00038172666
Beta_psd_mean_18,0.00038036017
Gamma_wavelet_27_7,0.0003746406
Beta_wavelet_17_9,0.0003706904
Delta_var_22,0.00036670142
Delta_wavelet_17_9,0.00036639386
Alpha_var_21,0.00036600212
Beta_wavelet_25_8,0.0003652991
Theta_var_16,0.00036213043
Alpha_wavelet_7_5,0.00036114617
Delta_wavelet_16_5,0.00036033752
Gamma_wavelet_1_9,0.00035953714
Delta_var_15,0.00035931187
Theta_wavelet_15_9,0.00035071812
Gamma_std_13,0.00035020057
Theta_var_9,0.00034951532
Theta_std_13,0.00034689633
Alpha_std_13,0.0003435663
Theta_wavelet_6_6,0.00033848936
Alpha_psd_mean_18,0.00033389725
Gamma_wavelet_13_7,0.00033271356
Delta_psd_mean_5,0.000330924
Delta_skew_9,0.00032983258
Delta_power_17,0.00032812092
Delta_wavelet_1_6,0.0003275386
Alpha_psd_mean_0,0.00032638782
Delta_mean_11,0.00032531828
Gamma_wavelet_15_7,0.0003215215
Alpha_std_7,0.00032100597
Theta_psd_mean_7,0.00031708213
Alpha_wavelet_17_2,0.0003133706
Alpha_psd_mean_23,0.00031334613
Beta_std_6,0.0003129753
Theta_std_26,0.00030633056
Gamma_wavelet_11_8,0.00030260807
Gamma_wavelet_17_7,0.00030012627
Theta_wavelet_3_6,0.00029799857
Beta_std_18,0.0002973991
Theta_wavelet_26_6,0.0002956664
Delta_wavelet_3_6,0.0002947482
Alpha_wavelet_26_5,0.00029445873
Alpha_wavelet_31_5,0.00029243092
Gamma_std_9,0.00029156217
Beta_wavelet_29_7,0.00029142882
Gamma_wavelet_17_8,0.0002903558
Theta_std_5,0.0002902917
Theta_wavelet_1_7,0.000289978
Gamma_var_9,0.00028922048
Theta_wavelet_3_4,0.00028827944
Alpha_wavelet_18_0,0.00028662116
Delta_wavelet_0_8,0.00028467784
Delta_pca_var_4,0.00028359675
Beta_wavelet_26_8,0.00028320364
Alpha_wavelet_18_7,0.00028298935
Theta_psd_mean_16,0.0002824582
Delta_pca_var_1,0.000281877
Delta_skew_4,0.0002806909
Delta_mean_23,0.00027992058
Gamma_wavelet_7_8,0.00027981855
Alpha_var_26,0.00027768998
Beta_var_9,0.0002716553
Beta_wavelet_29_2,0.00027148938
Gamma_std_5,0.00026430088
Theta_psd_mean_11,0.00026264717
Delta_wavelet_5_6,0.00025989272
Delta_wavelet_3_5,0.0002596366
Delta_power_4,0.00025309488
Gamma_wavelet_18_7,0.0002499492
Theta_psd_mean_4,0.00024807273
Delta_var_24,0.00024686163
Beta_wavelet_7_7,0.0002454977
Delta_wavelet_18_6,0.00024285365
Beta_wavelet_24_1,0.00024285131
Delta_var_8,0.00024236366
Delta_mean_12,0.00024195242
Theta_psd_mean_22,0.00024077605
Delta_wavelet_19_9,0.00024071719
Gamma_psd_mean_17,0.00023771462
Alpha_wavelet_1_6,0.00023756374
Gamma_wavelet_13_2,0.00023630496
Beta_wavelet_1_4,0.0002355088
Beta_wavelet_18_9,0.00023501858
Theta_var_6,0.00023359395
Alpha_var_24,0.00023174394
Gamma_wavelet_14_7,0.00023134022
Theta_std_11,0.00023111551
Theta_var_5,0.00022985182
Delta_psd_mean_3,0.0002220139
Beta_wavelet_1_9,0.00022073492
Gamma_wavelet_1_5,0.00021902955
Beta_skew_26,0.00021739486
Alpha_wavelet_16_6,0.00021397036
Beta_wavelet_6_6,0.00021327025
Beta_psd_mean_7,0.0002100323
Beta_wavelet_5_8,0.00020968675
Theta_var_8,0.00020330686
Theta_wavelet_17_9,0.0002012835
Alpha_psd_mean_29,0.0002000591
Beta_skew_23,0.00019934385
Beta_wavelet_4_6,0.00019743631
Theta_psd_mean_9,0.00019530939
Alpha_wavelet_18_6,0.00019189251
Gamma_wavelet_24_6,0.00018941441
Delta_wavelet_0_7,0.00018651536
Alpha_wavelet_20_6,0.00018454823
Beta_psd_mean_21,0.0001839555
Beta_wavelet_6_9,0.00018337954
Gamma_psd_mean_11,0.00018323722
Beta_wavelet_23_7,0.00018268244
Theta_std_6,0.00018238826
Delta_wavelet_29_7,0.00018226622
Alpha_std_25,0.00018181607
Delta_wavelet_20_7,0.00017922801
Delta_var_2,0.000176653
Alpha_pca_var_3,0.00017663158
Beta_wavelet_26_1,0.00017217093
Beta_pca_var_4,0.00017174415
Beta_wavelet_18_1,0.00017099184
Delta_skew_22,0.00016866303
Beta_wavelet_9_6,0.00016810514
Beta_skew_14,0.00016806863
Beta_skew_6,0.00016461531
Gamma_wavelet_16_1,0.0001640867
Theta_wavelet_17_1,0.00016345696
Delta_var_1,0.0001631799
Theta_wavelet_20_8,0.00016290227
Theta_var_3,0.00016283548
Gamma_wavelet_24_8,0.0001623262
Theta_wavelet_15_5,0.00016163575
Theta_pca_var_3,0.000160115
Alpha_wavelet_22_6,0.00015974931
Alpha_psd_mean_14,0.00015942218
Delta_wavelet_3_2,0.00015900464
Alpha_wavelet_13_5,0.00015871094
Gamma_wavelet_23_2,0.00015850765
Theta_wavelet_4_7,0.00015766155
Alpha_wavelet_20_5,0.00015754721
Theta_wavelet_6_5,0.00015736157
Delta_psd_mean_11,0.00015690437
Gamma_wavelet_5_6,0.0001566874
Gamma_wavelet_4_8,0.00015615748
Beta_wavelet_15_6,0.00015542455
Beta_wavelet_14_9,0.00015515546
Theta_skew_22,0.00015453211
Theta_wavelet_13_8,0.00015446988
Delta_mean_3,0.00015398116
Alpha_skew_28,0.00015369972
Alpha_psd_mean_1,0.00015367808
Delta_wavelet_23_6,0.00015206294
Alpha_ica_infomax_energy_4,0.00015057136
